date,minimum,maximum,range,mean,std
2020-02-29,16.1451911926,16.399723053,0.254531860352,16.3156846364,0.0583766921031
2020-03-01,16.3603649139,16.4998474121,0.139482498169,16.4537422998,0.0319558053118
2020-03-02,15.3225860596,15.4998149872,0.177228927612,15.4427004088,0.040296125352
2020-03-03,14.8860044479,14.9998779297,0.11387348175,14.9629318601,0.0258977541985
2020-03-04,15.5159482956,15.5999088287,0.0839605331421,15.5727898734,0.019025508561
2020-03-05,15.6434459686,15.8996686935,0.256222724915,15.8064764568,0.0609141635867
2020-03-06,15.2743339539,15.5995502472,0.325216293335,15.4763955162,0.0787423566946
2020-03-07,15.5106468201,15.5692501068,0.0586032867432,15.531455426,0.0153392437132
2020-03-08,14.0207471848,14.299665451,0.278918266296,14.2025867871,0.0651443651356
2020-03-09,16.6476860046,16.9994373322,0.351751327515,16.8539969126,0.088994834311
2020-03-10,16.2420291901,16.7736434937,0.531614303589,16.3908577874,0.128083833219
2020-03-11,16.5720539093,17.4822559357,0.910202026367,16.8268208277,0.219473996743
2020-03-12,18.1372013092,18.5819091797,0.444707870483,18.2627132961,0.107413307482
2020-03-13,17.9272117615,18.2689628601,0.341751098633,18.0212951388,0.0820981634267
2020-03-16,15.6458187103,15.9770994186,0.331280708313,15.8878032821,0.0793158501259
2020-03-17,20.0974330902,20.478685379,0.381252288818,20.3771375474,0.0906125350105
2020-03-18,22.1962337494,22.3934230804,0.197189331055,22.3438340596,0.0463556634498
2020-03-19,19.8846969604,19.9046974182,0.0200004577637,19.8987490336,0.00439011271673
2020-03-20,15.3648710251,15.5853919983,0.220520973206,15.5268196378,0.052746766647
2020-03-21,15.4748573303,15.7995510101,0.32469367981,15.6768058595,0.0785197790581
2020-03-22,18.213596344,18.5993518829,0.38575553894,18.4345318022,0.0994190776466
2020-03-23,19.5463237762,19.6945152283,0.148191452026,19.6567604882,0.0350360983115
2020-03-24,21.5729446411,21.8821334839,0.309188842773,21.8005164918,0.0736717817852
2020-03-25,16.7356319427,17.1226119995,0.386980056763,16.8456692923,0.0937933953974
2020-03-26,14.4275846481,14.6690063477,0.241421699524,14.4990939186,0.0595015051729
2020-03-27,17.2091655731,17.5792617798,0.370096206665,17.481817745,0.0877683784711
2020-03-28,17.416852951,17.5352096558,0.118356704712,17.4539264951,0.0297933155466
2020-03-29,21.1868839264,21.4995517731,0.31266784668,21.3785430363,0.0764663995069
2020-03-30,13.7769231796,13.8999042511,0.122981071472,13.8657600539,0.0269061194691
2020-03-31,10.3593292236,10.4460296631,0.0867004394531,10.4073541959,0.0124879955915
2020-04-01,16.7537403107,16.9996700287,0.245929718018,16.9082340513,0.0589976264515
