"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jan-01","23","22","28","26","17","32","21"
"Jan-02","26","24","29","31","28","23","19"
"Jan-03","21","24","24","21","27","19","23"
"Jan-04","21","28","26","26","28","33","28"
"Jan-05","29","31","24","31","25","28","27"
"Jan-06","22","32","21","27","21","23","20"
"Jan-07","30","26","21","21","18","25","20"
"Jan-08","19","29","23","23","16","22","23"
"Jan-09","16","33","32","28","25","25","23"
"Jan-10","18","26","18","29","26","20","20"
"Jan-11","20","35","21","28","28","30","32"
"Jan-12","17","29","24","28","22","21","30"
"Jan-13","22","41","24","25","20","31","17"
"Jan-14","25","26","29","27","25","28","30"
"Jan-15","14","47","17","19","26","32","18"
"Jan-16","28","42","28","26","25","20","19"
"Jan-17","20","27","29","25","19","26","28"
"Jan-18","14","32","26","25","23","23","24"
"Jan-19","23","19","19","22","30","17","20"
"Jan-20","25","32","16","28","17","24","27"
"Jan-21","25","32","30","29","21","23","19"
"Jan-22","19","25","22","26","18","27","24"
"Jan-23","20","23","22","28","27","29","25"
"Jan-24","15","28","25","33","23","34","18"
"Jan-25","21","32","22","25","18","25","27"
"Jan-26","20","31","25","22","32","27","26"
"Jan-27","26","21","21","28","20","25","23"
"Jan-28","25","24","17","24","14","34","26"
"Jan-29","13","29","13","31","31","25","21"
"Jan-30","21","22","17","21","22","30","22"
"Jan-31","32","26","25","20","23","31","24"
"Fev-01","20","22","29","29","24","27","21"
"Fev-02","28","33","27","27","31","27","22"
"Fev-03","14","24","18","27","22","28","22"
"Fev-04","21","25","21","25","32","25","36"
"Fev-05","21","30","17","21","32","21","24"
"Fev-06","28","24","22","17","23","30","21"
"Fev-07","23","36","28","19","25","31","21"
"Fev-08","21","29","25","19","24","21","11"
"Fev-09","24","26","22","30","26","33","18"
"Fev-10","30","28","18","23","18","18","27"
"Fev-11","26","39","27","32","23","28","15"
"Fev-12","20","29","24","31","31","29","31"
"Fev-13","19","28","25","23","38","26","19"
"Fev-14","35","30","27","21","22","20","15"
"Fev-15","32","26","21","26","15","28","30"
"Fev-16","21","33","22","22","28","35","23"
"Fev-17","23","24","23","19","24","24","22"
"Fev-18","23","27","21","24","28","26","15"
"Fev-19","17","29","26","31","30","22","23"
"Fev-20","10","26","20","20","40","19","23"
"Fev-21","18","43","19","19","32","26","16"
"Fev-22","29","35","25","25","24","21","16"
"Fev-23","22","18","18","25","28","28","28"
"Fev-24","26","27","27","18","26","26","28"
"Fev-25","17","33","22","16","26","22","27"
"Fev-26","30","23","25","12","28","30","16"
"Fev-27","16","24","24","23","33","29","18"
"Fev-28","22","26","20","21","25","15","17"
"Fev-29","","","16","","","","18"
"Mar-01","24","21","16","16","21","23","28"
"Mar-02","22","36","21","20","37","39","23"
"Mar-03","17","21","29","16","24","28","21"
"Mar-04","23","26","21","20","23","15","17"
"Mar-05","19","25","25","32","27","15","24"
"Mar-06","27","24","17","18","29","17","26"
"Mar-07","16","24","22","23","29","23","25"
"Mar-08","20","18","23","23","18","19","18"
"Mar-09","15","25","24","21","17","21","16"
"Mar-10","21","30","21","21","21","28","18"
"Mar-11","22","26","20","26","20","27","15"
"Mar-12","22","23","16","22","37","19","28"
"Mar-13","19","34","24","13","22","24","18"
"Mar-14","27","31","14","21","26","24","19"
"Mar-15","32","23","26","23","27","25","25"
"Mar-16","19","20","12","24","16","19","20"
"Mar-17","22","20","23","20","17","24","26"
"Mar-18","20","25","16","25","22","13","19"
"Mar-19","24","19","32","16","17","21","31"
"Mar-20","18","21","21","22","21","23","25"
"Mar-21","23","24","25","25","23","18","20"
"Mar-22","16","22","18","29","20","16","21"
"Mar-23","17","15","14","19","17","24","27"
"Mar-24","22","19","20","25","16","17","22"
"Mar-25","23","25","19","10","15","22","25"
"Mar-26","15","14","29","23","21","21","23"
"Mar-27","27","19","17","21","23","26","24"
"Mar-28","20","24","19","26","29","18","24"
"Mar-29","15","17","33","26","21","18","25"
"Mar-30","24","22","21","19","20","24","18"
"Mar-31","24","18","21","24","17","20","22"
"Abr-01","23","22","22","20","23","26","30"
"Abr-02","15","25","27","19","30","22","24"
"Abr-03","26","20","26","12","19","15","26"
"Abr-04","16","19","14","24","20","15","32"
"Abr-05","17","13","20","19","14","15","22"
"Abr-06","22","13","18","17","27","23","19"
"Abr-07","22","19","25","17","22","14","22"
"Abr-08","24","16","24","22","18","17","32"
"Abr-09","19","21","17","16","16","16","30"
"Abr-10","21","15","29","26","17","24","25"
"Abr-11","21","19","19","21","21","13","23"
"Abr-12","16","17","17","23","17","25","27"
