"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jan-01","13","18","12","18","27","18","24"
"Jan-02","16","12","24","27","25","11","20"
"Jan-03","24","14","19","25","24","12","18"
"Jan-04","13","11","18","30","20","18","17"
"Jan-05","20","19","14","21","21","22","13"
"Jan-06","15","16","17","18","21","16","22"
"Jan-07","16","23","8","17","18","17","21"
"Jan-08","23","16","16","17","17","18","25"
"Jan-09","16","19","16","13","18","23","12"
"Jan-10","8","14","12","21","19","23","18"
"Jan-11","25","10","26","18","7","16","18"
"Jan-12","15","20","17","23","5","19","16"
"Jan-13","14","25","19","14","15","14","22"
"Jan-14","14","17","19","14","20","23","23"
"Jan-15","16","14","12","16","16","18","21"
"Jan-16","13","12","6","13","19","26","11"
"Jan-17","13","9","21","6","23","22","16"
"Jan-18","25","9","13","25","16","28","19"
"Jan-19","18","14","21","24","19","15","19"
"Jan-20","16","19","29","24","16","10","16"
"Jan-21","17","19","13","29","11","18","15"
"Jan-22","12","14","18","23","19","15","12"
"Jan-23","16","19","22","24","13","19","23"
"Jan-24","20","17","17","25","21","16","20"
"Jan-25","23","19","12","19","8","17","18"
"Jan-26","16","14","11","18","19","22","13"
"Jan-27","12","11","15","28","14","15","25"
"Jan-28","12","14","18","21","26","14","15"
"Jan-29","13","13","16","17","11","23","19"
"Jan-30","13","17","22","29","20","20","22"
"Jan-31","15","21","12","30","13","11","21"
"Fev-01","16","13","18","15","17","13","20"
"Fev-02","12","21","11","27","16","16","19"
"Fev-03","11","23","14","17","22","17","17"
"Fev-04","24","13","15","19","24","22","17"
"Fev-05","17","22","16","16","25","20","16"
"Fev-06","10","10","23","20","16","22","24"
"Fev-07","13","10","7","16","19","17","16"
"Fev-08","9","25","15","13","21","15","16"
"Fev-09","14","22","26","17","16","26","8"
"Fev-10","21","19","14","22","20","15","12"
"Fev-11","18","16","16","10","18","23","11"
"Fev-12","19","22","12","12","18","17","19"
"Fev-13","15","20","22","14","26","14","14"
"Fev-14","19","13","10","11","12","24","11"
"Fev-15","17","13","21","12","28","21","14"
"Fev-16","13","15","14","15","13","23","14"
"Fev-17","15","12","20","17","19","17","16"
"Fev-18","14","18","19","14","22","14","5"
"Fev-19","19","18","17","9","18","22","17"
"Fev-20","13","24","14","30","20","17","8"
"Fev-21","10","23","12","10","17","21","14"
"Fev-22","20","20","10","13","21","6","17"
"Fev-23","15","20","10","23","12","21","16"
"Fev-24","15","10","21","20","19","17","8"
"Fev-25","13","22","9","15","28","16","21"
"Fev-26","10","9","13","12","18","15","12"
"Fev-27","17","21","21","10","32","14","18"
"Fev-28","13","11","11","19","15","22","11"
"Fev-29","","","24","","","","9"
"Mar-01","19","18","27","18","12","17","13"
"Mar-02","15","17","17","11","21","18","19"
"Mar-03","9","14","14","16","16","12","12"
"Mar-04","13","5","7","12","17","13","11"
"Mar-05","11","22","15","12","19","17","12"
"Mar-06","18","18","21","20","15","13","11"
"Mar-07","10","15","13","15","13","16","20"
"Mar-08","14","22","11","13","29","19","7"
"Mar-09","17","22","18","11","16","11","10"
"Mar-10","13","11","13","21","16","12","15"
"Mar-11","10","17","12","13","15","9","17"
"Mar-12","17","10","15","13","16","14","14"
"Mar-13","16","11","16","6","14","16","16"
"Mar-14","15","13","16","10","14","14","20"
"Mar-15","19","8","16","16","17","14","17"
