"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jan-01","71","77","70","105","71","71","78"
"Jan-02","71","85","49","112","61","72","65"
"Jan-03","57","66","68","93","76","72","67"
"Jan-04","64","111","66","102","88","78","55"
"Jan-05","64","99","53","89","71","66","67"
"Jan-06","70","96","60","97","73","65","57"
"Jan-07","72","91","60","93","53","64","70"
"Jan-08","64","82","69","94","73","64","69"
"Jan-09","62","97","63","95","86","79","72"
"Jan-10","72","75","80","88","67","85","79"
"Jan-11","56","84","64","84","71","75","75"
"Jan-12","68","98","63","92","82","72","63"
"Jan-13","65","93","56","105","81","74","75"
"Jan-14","73","89","49","81","80","82","79"
"Jan-15","76","96","70","73","62","75","81"
"Jan-16","55","86","63","75","67","78","79"
"Jan-17","65","78","59","82","73","64","73"
"Jan-18","68","84","69","67","75","77","85"
"Jan-19","59","78","57","80","63","79","77"
"Jan-20","75","103","62","76","74","76","81"
"Jan-21","61","81","69","84","67","80","62"
"Jan-22","65","94","71","79","82","92","76"
"Jan-23","55","69","64","94","82","93","86"
"Jan-24","63","95","65","85","73","74","71"
"Jan-25","57","93","59","73","69","89","83"
"Jan-26","51","74","67","76","78","71","81"
"Jan-27","64","85","61","93","70","86","73"
"Jan-28","45","67","72","74","76","77","73"
"Jan-29","54","71","55","56","72","82","65"
"Jan-30","53","77","59","80","75","86","65"
"Jan-31","64","72","75","84","58","79","83"
"Fev-01","50","75","64","81","67","93","85"
"Fev-02","64","87","52","71","78","81","77"
"Fev-03","56","69","74","75","78","82","81"
"Fev-04","61","81","57","83","68","77","75"
"Fev-05","51","87","64","88","82","77","60"
"Fev-06","70","72","60","66","66","82","61"
"Fev-07","71","79","63","56","76","85","64"
"Fev-08","63","76","54","61","73","81","61"
"Fev-09","58","101","61","53","90","78","71"
"Fev-10","77","79","79","58","80","66","55"
"Fev-11","64","80","77","73","86","80","63"
"Fev-12","62","83","65","83","73","68","66"
"Fev-13","69","88","58","74","80","62","54"
"Fev-14","59","82","56","49","73","69","58"
"Fev-15","67","79","62","55","73","63","60"
"Fev-16","51","70","57","66","73","79","60"
"Fev-17","60","78","60","72","72","60","78"
"Fev-18","63","73","59","76","72","70","59"
"Fev-19","74","87","79","69","77","72","67"
"Fev-20","74","68","65","57","74","58","60"
"Fev-21","71","66","67","56","93","75","75"
"Fev-22","63","74","70","45","78","58","63"
"Fev-23","51","79","63","53","73","62","71"
"Fev-24","66","67","66","58","72","62","64"
"Fev-25","78","88","65","61","75","65","62"
"Fev-26","47","52","68","54","82","63","56"
"Fev-27","79","92","50","55","64","57","79"
"Fev-28","60","72","54","62","77","69","60"
"Fev-29","","","62","","","","65"
"Mar-01","59","75","60","54","72","76","60"
"Mar-02","64","72","62","52","79","64","45"
"Mar-03","61","69","59","62","84","71","72"
"Mar-04","42","75","72","42","77","62","58"
"Mar-05","50","61","81","47","53","60","49"
"Mar-06","54","52","67","62","81","62","65"
"Mar-07","71","72","62","47","67","59","55"
"Mar-08","76","63","76","62","64","83","56"
"Mar-09","56","68","54","64","51","62","64"
"Mar-10","48","58","65","57","82","70","67"
"Mar-11","61","62","71","56","61","60","59"
"Mar-12","63","71","80","61","59","68","62"
"Mar-13","62","57","71","67","58","57","68"
"Mar-14","56","70","73","63","69","51","72"
"Mar-15","56","57","70","68","65","42","62"
"Mar-16","44","62","54","63","58","73","59"
"Mar-17","54","57","47","69","54","69","79"
"Mar-18","56","70","57","60","56","50","58"
"Mar-19","60","64","77","54","50","66","78"
