"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jan-01","125","141","119","141","126","124","113"
"Jan-02","142","131","115","185","140","151","135"
"Jan-03","153","150","121","167","136","137","126"
"Jan-04","102","138","111","170","138","125","131"
"Jan-05","133","143","118","166","137","142","105"
"Jan-06","124","133","124","157","122","162","128"
"Jan-07","125","146","95","151","109","159","133"
"Jan-08","108","150","111","148","125","145","124"
"Jan-09","109","150","112","143","129","142","140"
"Jan-10","115","145","108","149","160","156","112"
"Jan-11","118","147","114","136","149","154","131"
"Jan-12","106","154","140","141","110","168","134"
"Jan-13","111","158","86","143","148","154","145"
"Jan-14","122","151","143","116","128","183","126"
"Jan-15","113","166","123","148","124","156","151"
"Jan-16","90","138","116","126","143","160","137"
"Jan-17","110","119","92","149","139","150","132"
"Jan-18","102","150","117","126","140","140","134"
"Jan-19","113","152","128","154","164","156","122"
"Jan-20","104","165","132","137","161","167","123"
"Jan-21","120","130","147","144","139","138","113"
"Jan-22","129","142","129","143","121","160","132"
"Jan-23","105","144","115","160","139","158","136"
"Jan-24","107","149","119","161","129","166","142"
"Jan-25","117","146","138","126","124","146","145"
"Jan-26","130","151","119","155","135","157","114"
"Jan-27","118","164","127","143","128","169","150"
"Jan-28","121","145","103","137","138","163","119"
"Jan-29","127","162","106","138","131","144","131"
"Jan-30","125","140","109","137","112","146","124"
"Jan-31","133","148","133","133","126","160","130"
"Fev-01","121","139","126","147","115","132","131"
"Fev-02","131","120","119","124","118","139","115"
"Fev-03","109","143","119","124","137","120","128"
"Fev-04","107","130","121","127","128","126","131"
"Fev-05","123","129","112","112","150","154","140"
"Fev-06","136","148","124","128","130","156","113"
"Fev-07","113","130","127","130","148","132","125"
"Fev-08","110","144","121","119","127","133","116"
"Fev-09","97","145","120","110","122","131","110"
"Fev-10","126","145","97","148","122","130","118"
"Fev-11","113","155","112","127","114","145","107"
"Fev-12","113","139","115","112","145","124","105"
"Fev-13","135","131","100","118","130","125","106"
"Fev-14","131","129","110","107","165","126","111"
"Fev-15","103","149","97","131","143","143","117"
"Fev-16","105","117","127","97","117","123","112"
"Fev-17","107","128","105","103","136","121","104"
"Fev-18","100","144","121","119","153","121","110"
"Fev-19","109","109","104","124","124","140","105"
"Fev-20","121","129","137","123","129","120","106"
"Fev-21","102","129","109","118","139","118","110"
"Fev-22","105","123","137","84","154","119","125"
"Fev-23","115","151","108","106","131","121","101"
"Fev-24","123","127","124","100","147","112","120"
"Fev-25","109","130","112","101","141","114","123"
"Fev-26","118","137","110","101","139","104","117"
"Fev-27","141","132","113","112","130","107","121"
"Fev-28","97","138","94","114","137","117","117"
"Fev-29","","","113","","","","107"
"Mar-01","114","125","124","103","134","123","119"
"Mar-02","107","130","111","97","134","105","113"
"Mar-03","117","125","134","104","114","112","112"
"Mar-04","101","143","108","95","109","126","94"
"Mar-05","100","118","111","112","120","108","105"
"Mar-06","128","100","106","101","128","103","104"
"Mar-07","100","121","106","104","96","120","113"
"Mar-08","108","102","114","113","101","95","109"
"Mar-09","122","123","139","124","125","121","111"
"Mar-10","100","123","122","108","117","110","99"
"Mar-11","109","100","111","87","111","120","119"
"Mar-12","105","121","112","102","112","112","122"
"Mar-13","110","105","107","91","117","103","123"
"Mar-14","102","121","111","104","124","128","102"
