"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jan-01","127","128","120","164","147","106","121"
"Jan-02","119","145","87","195","153","111","123"
"Jan-03","120","134","90","154","168","110","127"
"Jan-04","110","156","113","154","128","101","110"
"Jan-05","96","144","105","173","156","94","107"
"Jan-06","108","152","84","138","156","123","121"
"Jan-07","102","115","113","130","112","126","126"
"Jan-08","96","110","127","141","147","112","130"
"Jan-09","114","131","109","140","133","134","113"
"Jan-10","92","166","88","165","144","121","126"
"Jan-11","109","136","100","138","137","110","110"
"Jan-12","104","140","117","136","135","137","144"
"Jan-13","123","162","98","143","122","126","136"
"Jan-14","123","155","106","128","140","154","119"
"Jan-15","99","121","107","99","150","113","139"
"Jan-16","83","145","66","136","148","140","124"
"Jan-17","95","156","83","128","139","139","119"
"Jan-18","98","141","99","140","120","132","110"
"Jan-19","101","146","102","126","131","114","126"
"Jan-20","110","156","95","143","124","118","105"
"Jan-21","89","156","106","130","113","136","137"
"Jan-22","109","150","89","123","124","132","112"
"Jan-23","88","139","113","143","124","128","119"
"Jan-24","120","139","89","158","136","150","116"
"Jan-25","110","138","108","122","114","143","126"
"Jan-26","91","133","88","150","120","124","127"
"Jan-27","123","146","95","136","115","126","118"
"Jan-28","119","140","90","124","129","127","126"
"Jan-29","112","156","85","129","124","152","117"
"Jan-30","104","139","99","127","141","130","129"
"Jan-31","100","129","109","126","108","123","119"
"Fev-01","114","118","93","129","125","116","106"
"Fev-02","102","136","106","128","124","117","126"
"Fev-03","124","127","86","121","95","98","129"
"Fev-04","105","142","89","116","110","111","108"
"Fev-05","103","120","84","118","116","134","92"
"Fev-06","105","149","81","101","121","123","113"
"Fev-07","94","134","93","120","121","118","106"
"Fev-08","107","129","109","96","145","125","106"
"Fev-09","106","144","100","104","132","120","109"
"Fev-10","106","142","113","97","128","119","105"
"Fev-11","108","135","109","123","126","141","112"
"Fev-12","107","128","101","122","118","133","100"
"Fev-13","112","134","112","125","124","125","121"
"Fev-14","110","138","84","95","116","132","99"
"Fev-15","112","131","91","97","126","117","96"
"Fev-16","101","120","74","109","134","107","89"
"Fev-17","107","104","101","102","117","125","126"
"Fev-18","94","131","101","105","104","123","108"
"Fev-19","91","144","107","101","135","117","110"
"Fev-20","108","110","114","102","126","106","103"
"Fev-21","105","113","117","110","119","127","114"
"Fev-22","101","101","129","112","116","117","118"
"Fev-23","103","122","102","112","107","123","105"
"Fev-24","106","127","94","130","98","127","99"
"Fev-25","107","125","81","97","101","112","86"
"Fev-26","109","122","92","94","120","127","98"
"Fev-27","111","122","110","92","104","113","111"
"Fev-28","104","119","99","95","112","115","97"
"Fev-29","","","91","","","","99"
"Mar-01","103","113","100","93","115","98","95"
"Mar-02","114","127","111","95","98","97","102"
