"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jan-01","9","9","5","13","6","8","7"
"Jan-02","11","6","4","10","3","4","5"
"Jan-03","8","10","9","11","8","7","4"
"Jan-04","4","10","5","8","7","6","9"
"Jan-05","9","2","6","5","7","9","5"
"Jan-06","12","7","4","11","5","7","4"
"Jan-07","10","3","2","4","4","8","6"
"Jan-08","10","10","7","9","4","11","7"
"Jan-09","6","4","7","9","6","6","8"
"Jan-10","10","5","7","5","9","16","5"
"Jan-11","14","10","5","7","3","4","6"
"Jan-12","8","7","7","10","6","8","6"
"Jan-13","8","8","8","3","6","8","5"
"Jan-14","10","9","7","8","1","5","6"
"Jan-15","6","4","7","4","5","9","8"
"Jan-16","6","4","15","6","6","8","6"
"Jan-17","6","8","5","8","6","4","8"
"Jan-18","5","9","11","3","4","6","4"
"Jan-19","7","7","4","7","3","11","5"
"Jan-20","6","5","12","4","5","4","8"
"Jan-21","5","5","9","8","11","6","3"
"Jan-22","12","7","8","9","4","5","10"
"Jan-23","9","9","8","6","4","8","5"
"Jan-24","5","4","7","11","9","5","5"
"Jan-25","5","5","5","7","9","6","4"
"Jan-26","5","5","9","9","6","4","5"
"Jan-27","12","3","9","9","9","3","12"
"Jan-28","6","8","7","8","7","8","10"
"Jan-29","2","9","10","7","7","5","8"
"Jan-30","8","9","4","3","4","4","5"
"Jan-31","10","4","7","7","14","10","11"
"Fev-01","5","8","8","3","4","11","9"
"Fev-02","6","12","6","2","8","9","9"
"Fev-03","8","2","6","6","7","11","11"
"Fev-04","4","5","6","6","4","7","7"
"Fev-05","6","8","7","6","5","3","7"
"Fev-06","5","7","6","6","6","6","4"
"Fev-07","5","10","10","4","7","2","8"
"Fev-08","10","9","8","7","5","1","12"
"Fev-09","5","4","9","6","11","7","7"
"Fev-10","6","7","6","10","3","18","5"
"Fev-11","6","6","5","10","11","11","7"
"Fev-12","7","13","6","8","12","7","6"
"Fev-13","7","9","9","6","7","7","7"
"Fev-14","13","6","7","5","11","6","12"
"Fev-15","5","7","7","8","5","5","6"
"Fev-16","6","8","10","8","6","4","5"
"Fev-17","11","4","9","8","11","6","4"
"Fev-18","7","5","9","10","5","7","7"
"Fev-19","9","6","7","10","9","8","5"
"Fev-20","2","9","10","6","8","4","10"
"Fev-21","6","4","17","6","9","4","11"
"Fev-22","9","9","4","5","8","8","11"
"Fev-23","4","4","10","5","16","10","5"
"Fev-24","3","7","6","4","3","6","6"
"Fev-25","6","6","8","12","7","6","4"
"Fev-26","9","4","5","12","8","6","8"
"Fev-27","5","4","6","4","13","6","3"
"Fev-28","5","10","9","6","10","9","4"
"Fev-29","","","10","","","","9"
"Mar-01","5","6","10","9","9","10","7"
"Mar-02","3","7","10","3","3","5","4"
"Mar-03","7","9","9","4","9","5","4"
"Mar-04","1","7","5","4","10","6","4"
"Mar-05","8","13","8","8","4","8","14"
"Mar-06","2","5","4","5","11","8","5"
"Mar-07","6","15","5","6","3","5","4"
"Mar-08","7","8","9","4","5","5","11"
"Mar-09","7","7","7","5","7","11","4"
"Mar-10","9","7","5","8","11","7","7"
"Mar-11","9","9","4","5","12","4","9"
"Mar-12","9","5","7","9","9","10","3"
"Mar-13","8","9","6","4","9","6","11"
"Mar-14","5","7","11","4","10","12","9"
"Mar-15","1","10","10","5","7","4","3"
"Mar-16","6","6","11","3","7","10","11"
"Mar-17","3","8","5","6","7","7","5"
"Mar-18","8","3","8","8","10","8","4"
"Mar-19","7","8","9","6","13","8","5"
"Mar-20","7","14","4","8","4","7","12"
"Mar-21","3","10","8","6","6","7","5"
"Mar-22","6","6","8","5","10","8","12"
"Mar-23","2","5","10","12","4","4","9"
"Mar-24","4","3","8","5","12","8","5"
"Mar-25","4","8","8","9","9","8","9"
"Mar-26","6","7","5","5","12","6","7"
"Mar-27","3","5","6","7","4","4","8"
"Mar-28","5","5","3","8","7","13","8"
"Mar-29","4","3","9","6","5","7","8"
"Mar-30","6","9","5","4","4","3","13"
"Mar-31","10","9","3","7","9","4","6"
"Abr-01","6","7","8","8","6","9","13"
"Abr-02","7","5","7","6","6","7","5"
"Abr-03","7","5","7","5","7","5","5"
"Abr-04","9","5","9","2","7","5","4"
"Abr-05","4","9","9","6","2","5","9"
"Abr-06","9","7","8","4","9","5","9"
"Abr-07","6","7","4","5","8","14","8"
"Abr-08","11","11","5","6","13","9","12"
"Abr-09","5","10","3","11","9","6","7"
"Abr-10","6","11","4","6","2","13","12"
"Abr-11","10","1","2","6","8","8","9"
"Abr-12","10","5","5","4","9","14","8"
"Abr-13","6","2","3","4","6","6","2"
"Abr-14","10","6","5","6","6","10","5"
"Abr-15","5","4","2","8","8","4","11"
"Abr-16","7","7","3","6","12","9","4"
"Abr-17","6","8","3","8","7","6","6"
"Abr-18","5","8","9","2","6","3","6"
"Abr-19","12","5","10","7","6","4","6"
"Abr-20","4","8","8","6","9","10","5"
"Abr-21","4","13","5","7","9","9","13"
"Abr-22","5","8","10","5","8","7","11"
"Abr-23","5","10","3","6","6","5","7"
"Abr-24","7","4","6","9","5","4","9"
"Abr-25","4","9","7","4","9","11","6"
"Abr-26","5","6","7","7","5","9","4"
"Abr-27","10","3","7","4","5","8","5"
"Abr-28","7","9","6","8","3","10","8"
"Abr-29","2","6","4","5","2","6","6"
"Abr-30","8","8","11","6","1","8","11"
"Mai-01","2","4","8","7","5","6","8"
"Mai-02","6","5","2","5","3","5","5"
"Mai-03","8","6","1","5","7","7","4"
"Mai-04","10","7","6","8","9","4","7"
"Mai-05","7","8","11","10","7","4","9"
"Mai-06","4","5","7","7","6","6","6"
"Mai-07","9","7","5","3","8","7","7"
"Mai-08","4","6","9","5","5","6","9"
"Mai-09","3","9","7","5","7","4","5"
"Mai-10","7","4","6","6","7","9","9"
"Mai-11","3","5","7","10","7","3","7"
"Mai-12","4","2","6","7","8","8","2"
"Mai-13","4","6","4","8","4","5","9"
"Mai-14","6","5","10","3","7","8","7"
"Mai-15","9","5","5","3","6","3","4"
"Mai-16","4","5","10","5","8","4","4"
"Mai-17","7","5","5","5","9","8","12"
"Mai-18","8","5","3","7","4","4","6"
"Mai-19","8","9","4","4","4","8","5"
"Mai-20","6","7","8","6","7","10","4"
"Mai-21","3","10","6","6","5","4","7"
"Mai-22","3","9","7","5","3","7","5"
"Mai-23","3","8","6","8","5","10","6"
"Mai-24","5","5","10","9","5","9","7"
"Mai-25","6","6","6","6","6","9","7"
"Mai-26","7","2","4","6","4","5","7"
"Mai-27","3","9","7","9","6","6","5"
"Mai-28","6","8","11","5","2","6","3"
"Mai-29","4","6","7","4","5","5","10"
"Mai-30","6","1","7","8","2","7","5"
"Mai-31","3","7","4","12","6","6","8"
"Jun-01","6","4","7","6","3","6","7"
"Jun-02","8","5","12","6","9","4","5"
"Jun-03","4","7","7","8","9","9","6"
"Jun-04","6","11","5","5","9","5","4"
"Jun-05","6","4","3","6","5","5","7"
"Jun-06","6","9","3","6","11","9","4"
"Jun-07","4","7","6","4","6","3","4"
"Jun-08","8","5","4","3","4","8","4"
"Jun-09","4","5","6","9","5","7","2"
"Jun-10","5","4","7","8","3","7","3"
"Jun-11","5","6","7","5","7","6","3"
"Jun-12","7","6","6","2","7","3","6"
"Jun-13","9","3","6","3","6","7","7"
"Jun-14","7","4","7","9","4","6","3"
"Jun-15","6","11","6","7","5","3","10"
"Jun-16","5","3","6","3","0","5","8"
"Jun-17","6","7","6","6","7","3","10"
"Jun-18","7","9","6","7","7","6","5"
"Jun-19","11","7","9","5","2","7","6"
"Jun-20","10","3","8","9","7","5","2"
"Jun-21","8","10","10","5","5","1",""
"Jun-22","5","10","8","3","9","4",""
"Jun-23","3","8","7","3","4","2",""
"Jun-24","8","3","9","4","6","7",""
"Jun-25","9","6","5","6","7","5",""
"Jun-26","8","6","4","10","5","4",""
"Jun-27","8","8","6","3","5","2",""
"Jun-28","3","7","8","5","10","9",""
"Jun-29","5","3","7","7","4","6",""
"Jun-30","4","5","5","7","4","11",""
"Jul-01","10","7","6","7","6","4",""
"Jul-02","6","2","6","11","3","1",""
"Jul-03","5","5","5","4","2","7",""
"Jul-04","7","9","10","6","4","4",""
"Jul-05","9","8","7","1","7","5",""
"Jul-06","9","7","7","4","7","6",""
"Jul-07","7","8","10","6","10","2",""
"Jul-08","13","9","6","6","3","3",""
"Jul-09","6","4","3","5","1","6",""
"Jul-10","6","6","9","4","7","6",""
"Jul-11","5","3","6","7","4","6",""
"Jul-12","3","8","7","7","6","4",""
"Jul-13","2","6","11","6","3","6",""
"Jul-14","4","3","4","2","7","3",""
"Jul-15","5","8","8","6","4","4",""
"Jul-16","9","3","5","5","6","3",""
"Jul-17","5","6","5","5","7","8",""
"Jul-18","3","7","7","6","5","7",""
"Jul-19","7","6","9","5","6","9",""
"Jul-20","3","8","2","5","5","6",""
"Jul-21","10","3","5","5","7","0",""
"Jul-22","7","2","6","6","8","6",""
"Jul-23","5","6","3","10","9","5",""
"Jul-24","5","4","5","11","5","4",""
"Jul-25","9","1","7","9","5","2",""
"Jul-26","6","8","7","3","11","5",""
"Jul-27","4","12","8","10","5","10",""
"Jul-28","10","5","2","5","3","5",""
"Jul-29","6","2","5","7","2","5",""
"Jul-30","5","10","4","2","4","5",""
"Jul-31","3","8","11","3","4","7",""
"Ago-01","6","5","9","3","4","2",""
"Ago-02","4","5","4","5","6","7",""
"Ago-03","5","1","9","6","3","5",""
"Ago-04","6","9","6","9","5","7",""
"Ago-05","6","8","5","3","7","5",""
"Ago-06","5","2","5","5","3","10",""
"Ago-07","8","3","2","7","3","3",""
"Ago-08","9","9","5","7","4","8",""
"Ago-09","7","7","8","8","3","9",""
"Ago-10","6","4","8","8","2","8",""
"Ago-11","7","3","10","3","5","6",""
"Ago-12","2","8","6","8","6","9",""
"Ago-13","5","7","4","15","2","4",""
"Ago-14","5","0","7","2","5","3",""
"Ago-15","5","10","8","5","3","5",""
"Ago-16","13","6","7","3","6","7",""
"Ago-17","5","3","4","7","5","5",""
"Ago-18","7","6","4","2","7","5",""
"Ago-19","4","5","6","6","8","7",""
"Ago-20","5","6","3","4","6","10",""
"Ago-21","8","9","2","9","10","7",""
"Ago-22","4","9","7","2","5","3",""
"Ago-23","5","9","6","6","3","6",""
"Ago-24","5","4","4","6","4","5",""
"Ago-25","10","5","6","13","2","8",""
"Ago-26","6","5","13","2","5","8",""
"Ago-27","7","6","1","6","5","5",""
"Ago-28","6","5","10","3","6","7",""
"Ago-29","9","5","2","7","5","5",""
"Ago-30","8","2","5","5","8","4",""
"Ago-31","8","4","4","10","3","10",""
"Set-01","5","4","6","2","6","11",""
"Set-02","6","7","4","5","7","5",""
"Set-03","5","6","10","2","7","7",""
"Set-04","3","4","4","6","14","10",""
"Set-05","7","3","1","3","4","4",""
"Set-06","5","9","1","7","10","9",""
"Set-07","8","4","5","8","5","7",""
"Set-08","3","8","8","6","3","7",""
"Set-09","8","7","3","6","9","2",""
"Set-10","5","7","1","2","8","3",""
"Set-11","5","4","7","9","7","6",""
"Set-12","6","8","6","5","4","4",""
"Set-13","5","2","4","10","6","3",""
"Set-14","1","4","2","4","8","4",""
"Set-15","5","6","9","2","9","5",""
"Set-16","8","5","8","8","4","3",""
"Set-17","9","3","6","6","8","4",""
"Set-18","4","10","6","5","6","0",""
"Set-19","10","2","9","5","8","4",""
"Set-20","6","5","7","2","7","5",""
"Set-21","6","6","10","4","7","7",""
"Set-22","7","8","7","2","5","2",""
"Set-23","6","5","4","7","6","8",""
"Set-24","2","4","8","11","8","7",""
"Set-25","11","7","10","5","6","9",""
"Set-26","7","5","6","4","5","4",""
"Set-27","7","7","6","5","8","3",""
"Set-28","11","5","4","4","8","3",""
"Set-29","8","6","4","6","2","3",""
"Set-30","10","9","5","10","6","6",""
"Out-01","8","9","6","3","11","11",""
"Out-02","6","3","2","7","8","5",""
"Out-03","7","4","8","10","4","5",""
"Out-04","6","4","10","2","7","5",""
"Out-05","1","2","10","9","5","3",""
"Out-06","6","7","6","9","4","6",""
"Out-07","2","6","8","5","6","4",""
"Out-08","3","4","5","4","4","3",""
"Out-09","5","6","5","4","5","5",""
"Out-10","7","8","8","5","4","9",""
"Out-11","8","5","4","7","5","4",""
"Out-12","6","3","5","10","4","2",""
"Out-13","4","4","8","8","10","6",""
"Out-14","8","6","6","3","4","2",""
"Out-15","8","5","7","3","4","6",""
"Out-16","6","5","7","9","6","8",""
"Out-17","10","5","7","8","4","5",""
"Out-18","4","2","6","7","2","8",""
"Out-19","3","7","6","5","5","4",""
"Out-20","2","8","7","7","4","1",""
"Out-21","6","4","5","6","8","7",""
"Out-22","6","5","7","2","7","5",""
"Out-23","4","11","5","7","3","6",""
"Out-24","3","4","2","3","8","7",""
"Out-25","8","6","4","4","7","8",""
"Out-26","4","9","17","7","13","4",""
"Out-27","10","2","5","10","5","11",""
"Out-28","11","4","4","2","4","2",""
"Out-29","6","4","10","9","8","3",""
"Out-30","11","7","9","3","3","13",""
"Out-31","8","6","9","1","4","0",""
"Nov-01","7","3","8","6","6","4",""
"Nov-02","7","6","10","7","2","4",""
