"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jan-01","5","11","8","7","18","9","8"
"Jan-02","6","7","4","15","6","9","11"
"Jan-03","13","18","5","6","9","8","9"
"Jan-04","12","10","6","7","14","6","10"
"Jan-05","7","11","8","7","14","4","8"
"Jan-06","9","10","6","8","4","12","11"
"Jan-07","9","13","4","4","6","12","6"
"Jan-08","14","13","6","8","6","4","6"
"Jan-09","12","12","6","11","8","3","8"
"Jan-10","11","9","4","10","6","14","12"
"Jan-11","14","12","13","10","9","18","4"
"Jan-12","12","4","9","11","6","4","9"
"Jan-13","10","10","8","7","12","9","4"
"Jan-14","12","12","14","7","10","7","11"
"Jan-15","8","10","10","8","7","11","4"
"Jan-16","9","18","4","9","12","10","10"
"Jan-17","15","15","12","11","10","6","9"
"Jan-18","14","14","11","5","10","9","7"
"Jan-19","9","7","10","9","12","10","12"
"Jan-20","8","6","4","8","8","14","13"
"Jan-21","11","10","6","3","9","6","6"
"Jan-22","8","10","8","8","11","6","11"
"Jan-23","13","7","10","7","12","7","7"
"Jan-24","8","10","6","9","4","12","6"
"Jan-25","12","7","9","6","2","12","7"
"Jan-26","7","3","7","9","7","10","6"
"Jan-27","15","7","8","6","14","8","8"
"Jan-28","10","7","13","8","5","11","3"
"Jan-29","8","9","9","8","10","11","5"
"Jan-30","10","5","12","8","7","9","11"
"Jan-31","9","6","13","5","7","14","3"
"Fev-01","5","7","7","7","13","9","8"
"Fev-02","1","14","7","6","12","8","13"
"Fev-03","13","10","6","5","8","10","10"
"Fev-04","11","8","4","10","10","12","4"
"Fev-05","13","11","3","6","11","4","14"
"Fev-06","10","11","4","6","9","8","6"
"Fev-07","16","4","5","5","11","7","10"
"Fev-08","6","5","4","6","9","5","12"
"Fev-09","7","8","9","8","14","8","5"
"Fev-10","14","8","9","9","10","12","8"
"Fev-11","12","8","12","6","7","17","8"
"Fev-12","3","9","11","2","14","7","7"
"Fev-13","9","7","8","7","12","8","10"
"Fev-14","8","6","5","13","14","10","7"
"Fev-15","9","10","8","8","17","12","5"
"Fev-16","10","9","8","8","12","7","7"
"Fev-17","11","9","11","8","8","7","11"
"Fev-18","12","10","7","10","9","6","9"
"Fev-19","8","8","6","8","14","12","9"
"Fev-20","11","12","9","6","4","4","5"
"Fev-21","16","5","9","8","5","5","10"
"Fev-22","7","15","6","4","4","13","1"
"Fev-23","4","6","5","10","13","14","4"
"Fev-24","12","8","6","11","8","5","6"
"Fev-25","12","10","6","9","10","14","4"
"Fev-26","6","7","7","6","12","13","6"
"Fev-27","2","11","5","8","20","4","4"
"Fev-28","5","6","10","10","13","5","10"
"Fev-29","","","7","","","","12"
"Mar-01","8","10","4","7","11","5","9"
"Mar-02","7","2","12","11","10","11","5"
"Mar-03","9","11","6","4","9","17","5"
"Mar-04","10","5","7","8","6","9","9"
"Mar-05","8","8","6","9","10","8","3"
"Mar-06","7","8","7","7","9","8","8"
"Mar-07","1","8","9","7","8","8","9"
"Mar-08","8","5","14","11","6","7","9"
"Mar-09","4","5","9","7","15","14","6"
"Mar-10","3","9","5","9","5","8","12"
"Mar-11","6","8","12","8","8","5","7"
"Mar-12","6","12","6","8","9","9","9"
"Mar-13","17","11","3","8","10","10","13"
"Mar-14","12","5","6","4","7","5","8"
"Mar-15","12","11","6","10","8","9","2"
"Mar-16","7","9","9","11","5","6","2"
"Mar-17","14","5","7","3","7","12","14"
"Mar-18","7","6","9","5","8","4","13"
"Mar-19","8","10","10","13","12","4","12"
"Mar-20","10","10","7","7","6","10","6"
"Mar-21","11","10","6","8","18","4","6"
"Mar-22","11","11","8","3","6","6","10"
"Mar-23","6","9","11","10","11","7","6"
"Mar-24","1","10","12","8","12","12","6"
"Mar-25","9","7","9","7","3","7","8"
"Mar-26","5","7","9","7","14","6","9"
"Mar-27","7","9","12","5","8","12","8"
"Mar-28","3","7","5","5","9","5","5"
"Mar-29","9","5","6","6","11","8","8"
"Mar-30","2","7","6","8","7","9","13"
"Mar-31","5","9","9","7","9","11","4"
"Abr-01","5","6","7","2","12","3","11"
"Abr-02","8","5","7","5","12","6","11"
"Abr-03","7","10","13","7","12","3","10"
"Abr-04","10","6","6","5","9","7","9"
"Abr-05","5","7","12","10","11","7","13"
"Abr-06","10","7","8","11","5","5","6"
"Abr-07","7","8","8","7","7","11","12"
"Abr-08","13","8","12","4","3","9","12"
"Abr-09","8","5","7","5","6","5","10"
