data,confirmados_arscentro_diff
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,21
2020-03-17,20
2020-03-18,23
2020-03-19,12
2020-03-20,20
2020-03-21,31
2020-03-22,43
2020-03-23,58
2020-03-24,55
2020-03-25,72
2020-03-26,70
2020-03-27,85
2020-03-28,127
2020-03-29,62
2020-03-30,75
2020-03-31,127
2020-04-01,132
2020-04-02,118
2020-04-03,125
2020-04-04,86
2020-04-05,70
2020-04-06,79
2020-04-07,245
2020-04-08,99
2020-04-09,40
2020-04-10,292
2020-04-11,130
2020-04-12,99
2020-04-13,51
2020-04-14,72
2020-04-15,80
2020-04-16,127
2020-04-17,22
2020-04-18,85
2020-04-19,60
2020-04-20,29
2020-04-21,47
2020-04-22,54
2020-04-23,31
2020-04-24,32
2020-04-25,67
2020-04-26,49
2020-04-27,20
2020-04-28,37
2020-04-29,51
2020-04-30,49
2020-05-01,30
2020-05-02,7
2020-05-03,21
2020-05-04,31
2020-05-05,11
2020-05-06,16
2020-05-07,40
2020-05-08,19
2020-05-09,17
2020-05-10,0
2020-05-11,-36
2020-05-12,8
2020-05-13,6
2020-05-14,10
2020-05-15,29
2020-05-16,11
2020-05-17,17
2020-05-18,2
2020-05-19,16
2020-05-20,11
2020-05-21,7
2020-05-22,2
2020-05-23,12
2020-05-24,7
2020-05-25,0
2020-05-26,7
2020-05-27,0
2020-05-28,20
2020-05-29,18
2020-05-30,11
2020-05-31,5
2020-06-01,3
2020-06-02,6
2020-06-03,12
2020-06-04,5
2020-06-05,19
2020-06-06,10
2020-06-07,24
2020-06-08,3
2020-06-09,11
2020-06-10,0
2020-06-11,4
2020-06-12,5
2020-06-13,22
2020-06-14,6
2020-06-15,18
2020-06-16,12
2020-06-17,9
2020-06-18,21
2020-06-19,21
2020-06-20,11
