data,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,confirmados_arsnorte_log,confirmados_arscentro_log,confirmados_arslvt_log,confirmados_arsalentejo_log,confirmados_arsalgarve_log,confirmados_acores_log,confirmados_madeira_log,confirmados_arsnorte_diff,confirmados_arscentro_diff,confirmados_arslvt_diff,confirmados_arsalentejo_diff,confirmados_arsalgarve_diff,confirmados_acores_diff,confirmados_madeira_diff,obitos_arsnorte_log,obitos_arscentro_log,obitos_arslvt_log,obitos_arsalentejo_log,obitos_arsalgarve_log,obitos_acores_log,obitos_madeira_log,obitos_arsnorte_diff,obitos_arscentro_diff,obitos_arslvt_diff,obitos_arsalentejo_diff,obitos_arsalgarve_diff,obitos_acores_diff,obitos_madeira_diff
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-03-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-03-03,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-03-04,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-03-05,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341003,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2020-03-06,8,1,4,0,0,0,0,0,0,0,0,0,0,0,2.0794415416798357,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
