data,confirmados_arsnorte_diff
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,2
2020-03-03,0
2020-03-04,1
2020-03-05,2
2020-03-06,3
2020-03-07,7
2020-03-08,7
2020-03-09,5
2020-03-10,0
2020-03-11,9
2020-03-12,8
2020-03-13,9
2020-03-14,24
2020-03-15,26
2020-03-16,35
2020-03-17,58
2020-03-18,93
2020-03-19,92
2020-03-20,125
2020-03-21,138
2020-03-22,181
2020-03-23,182
2020-03-24,123
2020-03-25,387
2020-03-26,341
2020-03-27,585
2020-03-28,592
2020-03-29,515
2020-03-30,251
2020-03-31,651
2020-04-01,458
2020-04-02,428
2020-04-03,561
2020-04-04,381
2020-04-05,250
2020-04-06,176
2020-04-07,346
2020-04-08,334
2020-04-09,716
2020-04-10,795
2020-04-11,367
2020-04-12,483
2020-04-13,237
2020-04-14,318
2020-04-15,449
2020-04-16,486
2020-04-17,87
2020-04-18,438
2020-04-19,386
2020-04-20,395
2020-04-21,263
2020-04-22,344
2020-04-23,232
2020-04-24,325
2020-04-25,244
2020-04-26,254
2020-04-27,110
2020-04-28,206
2020-04-29,13
2020-04-30,192
2020-05-01,141
2020-05-02,84
2020-05-03,70
2020-05-04,120
2020-05-05,58
2020-05-06,57
2020-05-07,194
2020-05-08,359
2020-05-09,45
2020-05-10,98
2020-05-11,56
2020-05-12,45
2020-05-13,59
2020-05-14,54
2020-05-15,48
2020-05-16,68
2020-05-17,70
2020-05-18,44
2020-05-19,76
2020-05-20,16
2020-05-21,52
2020-05-22,56
2020-05-23,68
2020-05-24,14
2020-05-25,21
2020-05-26,-2
2020-05-27,6
2020-05-28,15
2020-05-29,7
2020-05-30,14
2020-05-31,21
2020-06-01,0
2020-06-02,29
2020-06-03,15
2020-06-04,15
2020-06-05,15
2020-06-06,21
2020-06-07,54
2020-06-08,39
2020-06-09,19
2020-06-10,21
2020-06-11,19
2020-06-12,17
2020-06-13,42
2020-06-14,12
2020-06-15,19
2020-06-16,44
2020-06-17,38
2020-06-18,29
2020-06-19,28
2020-06-20,6
