,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[50, 100, 50]",0.2,rmsprop,0.001,0.03129037097096443,0.02330627292394638,1000,64,LSTM
1,"[50, 100, 50]",0.2,rmsprop,0.0001,0.039220333099365234,0.034255944192409515,1000,8,RNN
2,"[50, 100, 50]",0.5,rmsprop,0.0001,0.024729998782277107,0.021005231887102127,1000,32,LSTM
3,"[20, 20]",0.2,rmsprop,0.01,0.03385487571358681,0.027199339121580124,1000,16,RNN
4,"[20, 20]",0.2,rmsprop,0.01,0.056754838675260544,0.04086316004395485,1000,32,GRU
5,"[100, 50]",0.2,sgd_momentum,0.0001,0.2904355823993683,0.2893926799297333,500,32,LSTM
6,"[50, 100, 50]",0.5,sgd_momentum,0.01,0.02624092809855938,0.022020166739821434,1000,8,LSTM
7,"[100, 150]",0.5,adam,0.01,0.033898305147886276,0.021571649238467216,10000,64,RNN
8,"[100, 20]",0.2,adam,0.001,0.024753278121352196,0.02049720287322998,1000,64,GRU
9,"[100, 20]",0.2,sgd_momentum,0.0001,0.26319175958633423,0.26205629110336304,500,32,LSTM
10,"[50, 100, 50]",0.5,rmsprop,0.0001,0.024569155648350716,0.01971745304763317,500,16,GRU
11,"[20, 20]",0.2,sgd_momentum,0.01,0.02816988341510296,0.024151213467121124,1000,64,LSTM
12,"[50, 100, 50]",0.7,rmsprop,0.0001,0.026082338765263557,0.021525992080569267,1000,8,LSTM
13,"[100, 20]",0.7,adam,0.001,0.028065400198101997,0.024068767204880714,500,32,LSTM
14,"[20, 20]",0.2,sgd_momentum,0.0001,0.03499593213200569,0.03135217726230621,1000,64,RNN
