,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[100, 150]",0.7,adam,0.0001,0.06269298493862152,0.04881759732961655,10000,32,GRU
1,"[100, 50]",0.5,adam,0.001,0.06348797678947449,0.05105922371149063,1000,32,LSTM
2,"[100, 150]",0.7,sgd_momentum,0.01,0.06626749038696289,0.048351481556892395,10000,16,LSTM
3,"[50, 100, 50]",0.5,adam,0.01,0.06297129392623901,0.05035882070660591,10000,64,RNN
4,"[20, 20]",0.7,sgd_momentum,0.001,0.0723980963230133,0.054246123880147934,1000,32,RNN
5,"[100, 150]",0.5,adam,0.001,0.06931144744157791,0.051809441298246384,1000,32,GRU
6,"[100, 20]",0.5,rmsprop,0.001,0.062450457364320755,0.05019218847155571,1000,8,GRU
7,"[20, 20]",0.2,rmsprop,0.01,0.06323409080505371,0.05060623958706856,10000,8,RNN
8,"[50, 100, 50]",0.7,adam,0.01,0.06265997886657715,0.050221335142850876,500,32,GRU
9,"[100, 150]",0.5,adam,0.001,0.06095707044005394,0.04922269657254219,10000,16,LSTM
10,"[100, 100, 100]",0.5,rmsprop,0.01,0.07666400074958801,0.05594340339303017,500,64,RNN
11,"[50, 100, 50]",0.7,sgd_momentum,0.0001,0.24155540764331818,0.23360100388526917,1000,64,LSTM
12,"[100, 50]",0.2,adam,0.01,0.06356815248727798,0.0505884550511837,10000,64,RNN
13,"[10, 10, 10]",0.2,rmsprop,0.01,0.06897643953561783,0.052461013197898865,500,64,RNN
14,"[100, 50]",0.2,rmsprop,0.01,0.07008466869592667,0.05580851063132286,10000,64,RNN
