,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[100, 150]",0.5,rmsprop,0.0001,0.033073391765356064,0.027057858183979988,500,64,LSTM
1,"[10, 10, 10]",0.2,sgd_momentum,0.0001,0.26179319620132446,0.2608834207057953,1000,32,LSTM
2,"[20, 20]",0.7,rmsprop,0.01,0.03009089082479477,0.02267473377287388,10000,16,RNN
3,"[100, 50]",0.7,rmsprop,0.001,0.03332462161779404,0.028601832687854767,1000,8,LSTM
4,"[100, 20]",0.2,rmsprop,0.01,0.04864588752388954,0.04304748401045799,1000,64,LSTM
5,"[10, 10, 10]",0.2,rmsprop,0.0001,0.04374000057578087,0.0395943820476532,500,64,GRU
6,"[20, 20]",0.7,adam,0.001,0.02397257275879383,0.018856391310691833,500,8,GRU
7,"[100, 20]",0.5,adam,0.001,0.03543092682957649,0.03261982277035713,500,8,LSTM
8,"[100, 50]",0.7,adam,0.001,0.027286695316433907,0.022911371663212776,1000,16,RNN
9,"[100, 100, 100]",0.7,sgd_momentum,0.001,0.024310648441314697,0.020653264597058296,10000,8,LSTM
10,"[100, 150]",0.5,rmsprop,0.001,0.02839701808989048,0.021525753661990166,1000,32,LSTM
11,"[10, 10, 10]",0.2,adam,0.01,0.03823549300432205,0.032617174088954926,10000,16,LSTM
12,"[100, 20]",0.7,rmsprop,0.001,0.028075195848941803,0.020544596016407013,10000,32,RNN
13,"[100, 50]",0.2,rmsprop,0.01,0.022029971703886986,0.017295848578214645,1000,16,RNN
14,"[10, 10, 10]",0.2,adam,0.001,0.036488763988018036,0.02755213901400566,10000,64,RNN
