,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[100, 100, 100]",0.2,sgd_momentum,0.001,0.4086160957813263,0.3611912429332733,1000,16,LSTM
1,"[100, 20]",0.2,adam,0.0001,0.3132140636444092,0.23995952308177948,10000,16,LSTM
2,"[100, 20]",0.2,adam,0.0001,0.26990219950675964,0.2194046825170517,500,64,LSTM
3,"[20, 20]",0.2,sgd_momentum,0.01,0.3202170133590698,0.27526986598968506,1000,16,LSTM
4,"[50, 100, 50]",0.7,sgd_momentum,0.01,0.342363178730011,0.2916176915168762,10000,32,LSTM
5,"[20, 20]",0.5,adam,0.001,0.2770892381668091,0.2398742288351059,500,8,RNN
6,"[100, 100, 100]",0.7,rmsprop,0.01,0.2558431029319763,0.23403505980968475,10000,64,RNN
7,"[100, 20]",0.7,rmsprop,0.0001,0.3093167245388031,0.2518635094165802,10000,64,LSTM
8,"[20, 20]",0.5,adam,0.001,0.2824133336544037,0.22805146872997284,10000,16,GRU
9,"[100, 20]",0.5,sgd_momentum,0.001,0.275229811668396,0.2152942568063736,10000,32,LSTM
10,"[50, 100, 50]",0.2,sgd_momentum,0.01,0.2700748145580292,0.24871717393398285,10000,8,GRU
11,"[20, 20]",0.5,adam,0.01,0.3257613480091095,0.2753065228462219,10000,16,GRU
12,"[100, 150]",0.2,sgd_momentum,0.01,0.271990567445755,0.2196664810180664,500,16,LSTM
13,"[10, 10, 10]",0.7,sgd_momentum,0.0001,0.5271639227867126,0.4901820421218872,500,32,RNN
14,"[50, 100, 50]",0.2,adam,0.001,0.31425201892852783,0.2787570059299469,500,64,GRU
