,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[100, 100, 100]",0.7,sgd_momentum,0.01,0.030709343031048775,0.02633264847099781,1000,32,GRU
1,"[50, 100, 50]",0.2,sgd_momentum,0.001,0.03143855184316635,0.02680255100131035,10000,32,GRU
2,"[100, 20]",0.2,rmsprop,0.001,0.06191343441605568,0.04376821219921112,1000,8,RNN
3,"[100, 20]",0.2,rmsprop,0.001,0.11147093027830124,0.07600227743387222,10000,8,GRU
4,"[50, 100, 50]",0.5,adam,0.0001,0.14036273956298828,0.06778738647699356,10000,64,GRU
5,"[100, 20]",0.2,rmsprop,0.0001,0.02877996675670147,0.021740704774856567,10000,8,LSTM
6,"[50, 100, 50]",0.7,rmsprop,0.0001,0.02341446839272976,0.018291790038347244,500,32,LSTM
7,"[10, 10, 10]",0.2,rmsprop,0.01,0.07476969808340073,0.034204985946416855,1000,64,GRU
8,"[50, 100, 50]",0.7,adam,0.01,0.020117787644267082,0.017234988510608673,500,8,LSTM
9,"[20, 20]",0.5,rmsprop,0.01,0.16890209913253784,0.10043148696422577,500,16,GRU
10,"[100, 150]",0.2,adam,0.001,0.0657246857881546,0.04158264398574829,500,8,GRU
11,"[10, 10, 10]",0.7,adam,0.01,0.053303346037864685,0.050419386476278305,1000,64,LSTM
12,"[100, 50]",0.7,rmsprop,0.0001,0.02175229601562023,0.017420392483472824,500,64,LSTM
13,"[100, 20]",0.5,rmsprop,0.01,0.0879194587469101,0.06124972179532051,10000,32,LSTM
14,"[100, 100, 100]",0.2,sgd_momentum,0.0001,0.38864946365356445,0.3882712423801422,500,64,LSTM
