,city,"p, d, q","P, D, Q, m",aic
0,Alentejo,"(0, 0, 0)","(0, 0, 0, 15)",792.9905345908511
1,Alentejo,"(0, 0, 0)","(0, 0, 1, 15)",701.6804039420031
2,Alentejo,"(0, 0, 0)","(0, 0, 2, 15)",3900.197582778976
3,Alentejo,"(0, 0, 0)","(0, 1, 0, 15)",712.6735003763526
4,Alentejo,"(0, 0, 0)","(0, 1, 1, 15)",604.1576662148166
5,Alentejo,"(0, 0, 0)","(0, 1, 2, 15)",2679.0304802146056
6,Alentejo,"(0, 0, 0)","(1, 0, 0, 15)",704.8065892631532
7,Alentejo,"(0, 0, 0)","(1, 0, 1, 15)",700.596411855661
8,Alentejo,"(0, 0, 0)","(1, 0, 2, 15)",3114.089597285247
9,Alentejo,"(0, 0, 0)","(1, 1, 0, 15)",619.8879976517699
10,Alentejo,"(0, 0, 0)","(1, 1, 1, 15)",607.9731394263424
11,Alentejo,"(0, 0, 0)","(1, 1, 2, 15)",2214.195029293922
12,Alentejo,"(0, 0, 0)","(2, 0, 0, 15)",614.4640246799539
13,Alentejo,"(0, 0, 0)","(2, 0, 1, 15)",613.1117474841047
14,Alentejo,"(0, 0, 0)","(2, 0, 2, 15)",3258.229661324881
15,Alentejo,"(0, 0, 0)","(2, 1, 0, 15)",508.9145450593797
16,Alentejo,"(0, 0, 0)","(2, 1, 1, 15)",510.8149959460145
17,Alentejo,"(0, 0, 0)","(2, 1, 2, 15)",2974.6086941982603
18,Alentejo,"(0, 0, 1)","(0, 0, 0, 15)",780.5917376680916
19,Alentejo,"(0, 0, 1)","(0, 0, 1, 15)",692.7640421520733
20,Alentejo,"(0, 0, 1)","(0, 0, 2, 15)",3332.815858429982
21,Alentejo,"(0, 0, 1)","(0, 1, 0, 15)",708.0981228001876
22,Alentejo,"(0, 0, 1)","(0, 1, 1, 15)",598.4762273808484
23,Alentejo,"(0, 0, 1)","(0, 1, 2, 15)",4650.778492037745
