,city,"p, d, q","P, D, Q, m",aic
0,Algarve,"(0, 0, 0)","(0, 0, 0, 15)",809.4213268686626
1,Algarve,"(0, 0, 0)","(0, 0, 1, 15)",708.3056381392139
2,Algarve,"(0, 0, 0)","(0, 0, 2, 15)",3207.649498993752
3,Algarve,"(0, 0, 0)","(0, 1, 0, 15)",724.4144695638466
4,Algarve,"(0, 0, 0)","(0, 1, 1, 15)",599.9578881279816
5,Algarve,"(0, 0, 0)","(0, 1, 2, 15)",2709.079736853296
6,Algarve,"(0, 0, 0)","(1, 0, 0, 15)",712.5818391022838
7,Algarve,"(0, 0, 0)","(1, 0, 1, 15)",704.5751992301346
8,Algarve,"(0, 0, 0)","(1, 0, 2, 15)",3327.3220297192656
9,Algarve,"(0, 0, 0)","(1, 1, 0, 15)",620.2745667264585
10,Algarve,"(0, 0, 0)","(1, 1, 1, 15)",601.9425958325392
11,Algarve,"(0, 0, 0)","(1, 1, 2, 15)",3070.7968284430935
12,Algarve,"(0, 0, 0)","(2, 0, 0, 15)",606.7600819817105
13,Algarve,"(0, 0, 0)","(2, 0, 1, 15)",600.4929564427597
14,Algarve,"(0, 0, 0)","(2, 0, 2, 15)",3151.294679185917
15,Algarve,"(0, 0, 0)","(2, 1, 0, 15)",492.2613435495666
16,Algarve,"(0, 0, 0)","(2, 1, 1, 15)",484.8677319162298
17,Algarve,"(0, 0, 0)","(2, 1, 2, 15)",3018.1430579842986
18,Algarve,"(0, 0, 1)","(0, 0, 0, 15)",758.1596129556403
19,Algarve,"(0, 0, 1)","(0, 0, 1, 15)",668.764590344724
20,Algarve,"(0, 0, 1)","(0, 0, 2, 15)",3381.0249198764277
21,Algarve,"(0, 0, 1)","(0, 1, 0, 15)",692.2138974665811
22,Algarve,"(0, 0, 1)","(0, 1, 1, 15)",567.5082060774128
23,Algarve,"(0, 0, 1)","(0, 1, 2, 15)",2709.8633117306226
24,Algarve,"(0, 0, 1)","(1, 0, 0, 15)",678.4643433082204
25,Algarve,"(0, 0, 1)","(1, 0, 1, 15)",664.4752155210269
26,Algarve,"(0, 0, 1)","(1, 0, 2, 15)",3218.224736832664
27,Algarve,"(0, 0, 1)","(1, 1, 0, 15)",594.8171439820561
28,Algarve,"(0, 0, 1)","(1, 1, 1, 15)",575.5674555642647
29,Algarve,"(0, 0, 1)","(1, 1, 2, 15)",2743.1067658150832
30,Algarve,"(0, 0, 1)","(2, 0, 0, 15)",580.597900598495
31,Algarve,"(0, 0, 1)","(2, 0, 1, 15)",573.1586340524012
32,Algarve,"(0, 0, 1)","(2, 0, 2, 15)",3307.092396459245
33,Algarve,"(0, 0, 1)","(2, 1, 0, 15)",463.86429398359166
34,Algarve,"(0, 0, 1)","(2, 1, 1, 15)",470.2552143616466
35,Algarve,"(0, 0, 1)","(2, 1, 2, 15)",2711.4785769945715
36,Algarve,"(0, 0, 2)","(0, 0, 0, 15)",739.0888883792694
37,Algarve,"(0, 0, 2)","(0, 0, 1, 15)",654.8862691286728
38,Algarve,"(0, 0, 2)","(0, 0, 2, 15)",3005.152630209954
39,Algarve,"(0, 0, 2)","(0, 1, 0, 15)",684.5601148170998
40,Algarve,"(0, 0, 2)","(0, 1, 1, 15)",560.0727699753421
41,Algarve,"(0, 0, 2)","(0, 1, 2, 15)",2811.961687467881
42,Algarve,"(0, 0, 2)","(1, 0, 0, 15)",671.1484788911296
43,Algarve,"(0, 0, 2)","(1, 0, 1, 15)",652.9215298649954
44,Algarve,"(0, 0, 2)","(1, 0, 2, 15)",2844.5542983340447
45,Algarve,"(0, 0, 2)","(1, 1, 0, 15)",591.5667560407479
46,Algarve,"(0, 0, 2)","(1, 1, 1, 15)",567.2158039915714
47,Algarve,"(0, 0, 2)","(1, 1, 2, 15)",2935.4151336644068
48,Algarve,"(0, 0, 2)","(2, 0, 0, 15)",574.8160882373788
49,Algarve,"(0, 0, 2)","(2, 0, 1, 15)",567.9248088154618
50,Algarve,"(0, 0, 2)","(2, 0, 2, 15)",2933.7199136325207
51,Algarve,"(0, 0, 2)","(2, 1, 0, 15)",457.9022918994249
52,Algarve,"(0, 0, 2)","(2, 1, 1, 15)",463.64039148370955
53,Algarve,"(0, 0, 2)","(2, 1, 2, 15)",2826.502453261365
54,Algarve,"(0, 1, 0)","(0, 0, 0, 15)",737.2436798816927
55,Algarve,"(0, 1, 0)","(0, 0, 1, 15)",655.7757236223091
56,Algarve,"(0, 1, 0)","(0, 0, 2, 15)",3215.31658372324
57,Algarve,"(0, 1, 0)","(0, 1, 0, 15)",700.8867610358717
58,Algarve,"(0, 1, 0)","(0, 1, 1, 15)",570.751002282122
59,Algarve,"(0, 1, 0)","(0, 1, 2, 15)",2552.6250974073537
60,Algarve,"(0, 1, 0)","(1, 0, 0, 15)",661.3746596117223
61,Algarve,"(0, 1, 0)","(1, 0, 1, 15)",655.3640424243446
62,Algarve,"(0, 1, 0)","(1, 0, 2, 15)",4104.447387227772
63,Algarve,"(0, 1, 0)","(1, 1, 0, 15)",586.5778631573637
64,Algarve,"(0, 1, 0)","(1, 1, 1, 15)",576.6416505298373
65,Algarve,"(0, 1, 0)","(1, 1, 2, 15)",2908.9328587722275
66,Algarve,"(0, 1, 0)","(2, 0, 0, 15)",564.4017671114682
67,Algarve,"(0, 1, 0)","(2, 0, 1, 15)",559.1197434270862
68,Algarve,"(0, 1, 0)","(2, 0, 2, 15)",3452.1789784890343
69,Algarve,"(0, 1, 0)","(2, 1, 0, 15)",450.8907387165017
70,Algarve,"(0, 1, 0)","(2, 1, 1, 15)",441.7192814635899
71,Algarve,"(0, 1, 0)","(2, 1, 2, 15)",2999.45929663715
72,Algarve,"(0, 1, 1)","(0, 0, 0, 15)",707.119199895584
73,Algarve,"(0, 1, 1)","(0, 0, 1, 15)",629.1293892217841
