,city,"p, d, q","P, D, Q, m",aic
0,Centro,"(0, 0, 0)","(0, 0, 0, 15)",1264.2937279460698
1,Centro,"(0, 0, 0)","(0, 0, 1, 15)",1083.1204024477895
2,Centro,"(0, 0, 0)","(0, 0, 2, 15)",3287.8911964533268
3,Centro,"(0, 0, 0)","(0, 1, 0, 15)",1101.7800852883622
4,Centro,"(0, 0, 0)","(0, 1, 1, 15)",935.5061971746538
5,Centro,"(0, 0, 0)","(0, 1, 2, 15)",2740.5116746906915
6,Centro,"(0, 0, 0)","(1, 0, 0, 15)",1088.6761945797155
7,Centro,"(0, 0, 0)","(1, 0, 1, 15)",1079.1697993504015
8,Centro,"(0, 0, 0)","(1, 0, 2, 15)",3275.692624668512
9,Centro,"(0, 0, 0)","(1, 1, 0, 15)",956.3701516602208
10,Centro,"(0, 0, 0)","(1, 1, 1, 15)",932.9081654841366
11,Centro,"(0, 0, 0)","(1, 1, 2, 15)",2812.747022032463
12,Centro,"(0, 0, 0)","(2, 0, 0, 15)",934.5410930372765
13,Centro,"(0, 0, 0)","(2, 0, 1, 15)",899.7591602407628
14,Centro,"(0, 0, 0)","(2, 0, 2, 15)",3258.3322619833325
15,Centro,"(0, 0, 0)","(2, 1, 0, 15)",728.1967381076955
16,Centro,"(0, 0, 0)","(2, 1, 1, 15)",714.4136926706291
17,Centro,"(0, 0, 0)","(2, 1, 2, 15)",3057.6822550596953
18,Centro,"(0, 0, 1)","(0, 0, 0, 15)",1200.548267462658
19,Centro,"(0, 0, 1)","(0, 0, 1, 15)",1042.6330870996442
20,Centro,"(0, 0, 1)","(0, 0, 2, 15)",3200.037003024337
21,Centro,"(0, 0, 1)","(0, 1, 0, 15)",1070.5853370335872
22,Centro,"(0, 0, 1)","(0, 1, 1, 15)",895.3509782137716
23,Centro,"(0, 0, 1)","(0, 1, 2, 15)",1955.4273171402426
24,Centro,"(0, 0, 1)","(1, 0, 0, 15)",1059.3515814715581
25,Centro,"(0, 0, 1)","(1, 0, 1, 15)",1042.1104845880604
26,Centro,"(0, 0, 1)","(1, 0, 2, 15)",2085.5054325852925
27,Centro,"(0, 0, 1)","(1, 1, 0, 15)",936.9401132607558
28,Centro,"(0, 0, 1)","(1, 1, 1, 15)",897.0742093937458
29,Centro,"(0, 0, 1)","(1, 1, 2, 15)",2199.570560219941
30,Centro,"(0, 0, 1)","(2, 0, 0, 15)",914.1722299188125
31,Centro,"(0, 0, 1)","(2, 0, 1, 15)",883.6441766486504
32,Centro,"(0, 0, 1)","(2, 0, 2, 15)",2302.4089726321527
33,Centro,"(0, 0, 1)","(2, 1, 0, 15)",717.2524580060699
34,Centro,"(0, 0, 1)","(2, 1, 1, 15)",702.8385677871509
35,Centro,"(0, 0, 1)","(2, 1, 2, 15)",2080.5903283678936
36,Centro,"(0, 0, 2)","(0, 0, 0, 15)",1183.0111034732977
37,Centro,"(0, 0, 2)","(0, 0, 1, 15)",1031.2525027524994
38,Centro,"(0, 0, 2)","(0, 0, 2, 15)",3336.7606190761003
39,Centro,"(0, 0, 2)","(0, 1, 0, 15)",1061.3482286803667
40,Centro,"(0, 0, 2)","(0, 1, 1, 15)",884.4306232906653
41,Centro,"(0, 0, 2)","(0, 1, 2, 15)",2730.09478509691
42,Centro,"(0, 0, 2)","(1, 0, 0, 15)",1057.621353106843
43,Centro,"(0, 0, 2)","(1, 0, 1, 15)",1031.3160915216044
44,Centro,"(0, 0, 2)","(1, 0, 2, 15)",3230.783017310269
45,Centro,"(0, 0, 2)","(1, 1, 0, 15)",936.820665254144
46,Centro,"(0, 0, 2)","(1, 1, 1, 15)",886.2313815654098
47,Centro,"(0, 0, 2)","(1, 1, 2, 15)",1971.624393082745
48,Centro,"(0, 0, 2)","(2, 0, 0, 15)",914.1008614269108
49,Centro,"(0, 0, 2)","(2, 0, 1, 15)",884.6102009491868
50,Centro,"(0, 0, 2)","(2, 0, 2, 15)",3164.3439591757115
51,Centro,"(0, 0, 2)","(2, 1, 0, 15)",711.5483465001811
52,Centro,"(0, 0, 2)","(2, 1, 1, 15)",695.6221674638663
53,Centro,"(0, 0, 2)","(2, 1, 2, 15)",2758.231907676566
54,Centro,"(0, 1, 0)","(0, 0, 0, 15)",1170.1371273154152
55,Centro,"(0, 1, 0)","(0, 0, 1, 15)",1030.752714635454
56,Centro,"(0, 1, 0)","(0, 0, 2, 15)",3163.54290284465
