,city,"p, d, q","P, D, Q, m",aic
0,LVT,"(0, 0, 0)","(0, 0, 0, 15)",1521.5596653331672
1,LVT,"(0, 0, 0)","(0, 0, 1, 15)",1284.417812743327
2,LVT,"(0, 0, 0)","(0, 0, 2, 15)",3441.1506782432243
3,LVT,"(0, 0, 0)","(0, 1, 0, 15)",1226.0264056072792
4,LVT,"(0, 0, 0)","(0, 1, 1, 15)",1045.0706795512544
5,LVT,"(0, 0, 0)","(0, 1, 2, 15)",2823.502579256053
6,LVT,"(0, 0, 0)","(1, 0, 0, 15)",1239.231711712957
7,LVT,"(0, 0, 0)","(1, 0, 1, 15)",1207.5990056608612
8,LVT,"(0, 0, 0)","(1, 0, 2, 15)",3441.2204659443387
9,LVT,"(0, 0, 0)","(1, 1, 0, 15)",1058.216295496291
10,LVT,"(0, 0, 0)","(1, 1, 1, 15)",1040.318759907984
11,LVT,"(0, 0, 0)","(1, 1, 2, 15)",2947.198162257576
12,LVT,"(0, 0, 0)","(2, 0, 0, 15)",1058.9319820652095
13,LVT,"(0, 0, 0)","(2, 0, 1, 15)",1040.5895749110086
14,LVT,"(0, 0, 0)","(2, 0, 2, 15)",3612.4240016798276
15,LVT,"(0, 0, 0)","(2, 1, 0, 15)",849.2933289152064
16,LVT,"(0, 0, 0)","(2, 1, 1, 15)",853.5988454552215
17,LVT,"(0, 0, 0)","(2, 1, 2, 15)",2497.3285053840414
18,LVT,"(0, 0, 1)","(0, 0, 0, 15)",1439.2167298932666
19,LVT,"(0, 0, 1)","(0, 0, 1, 15)",1242.325003040106
20,LVT,"(0, 0, 1)","(0, 0, 2, 15)",3049.088363339006
21,LVT,"(0, 0, 1)","(0, 1, 0, 15)",1208.8902043636272
22,LVT,"(0, 0, 1)","(0, 1, 1, 15)",1021.8516288804129
23,LVT,"(0, 0, 1)","(0, 1, 2, 15)",2819.712987611493
24,LVT,"(0, 0, 1)","(1, 0, 0, 15)",1231.6839111705792
25,LVT,"(0, 0, 1)","(1, 0, 1, 15)",1188.14041533161
26,LVT,"(0, 0, 1)","(1, 0, 2, 15)",3270.5432072928656
27,LVT,"(0, 0, 1)","(1, 1, 0, 15)",1051.240260432238
28,LVT,"(0, 0, 1)","(1, 1, 1, 15)",1020.8502134016309
29,LVT,"(0, 0, 1)","(1, 1, 2, 15)",2938.2490922340276
30,LVT,"(0, 0, 1)","(2, 0, 0, 15)",1053.0983655910688
31,LVT,"(0, 0, 1)","(2, 0, 1, 15)",1036.9017868418211
32,LVT,"(0, 0, 1)","(2, 0, 2, 15)",2272.3483634937024
33,LVT,"(0, 0, 1)","(2, 1, 0, 15)",840.7766914825012
34,LVT,"(0, 0, 1)","(2, 1, 1, 15)",842.1346653925026
35,LVT,"(0, 0, 1)","(2, 1, 2, 15)",2706.6214017686443
36,LVT,"(0, 0, 2)","(0, 0, 0, 15)",1388.6499988564233
37,LVT,"(0, 0, 2)","(0, 0, 1, 15)",1197.2136765146665
38,LVT,"(0, 0, 2)","(0, 0, 2, 15)",3721.9348813061524
39,LVT,"(0, 0, 2)","(0, 1, 0, 15)",1188.8254398146867
40,LVT,"(0, 0, 2)","(0, 1, 1, 15)",999.1010218822042
41,LVT,"(0, 0, 2)","(0, 1, 2, 15)",2053.055232652732
42,LVT,"(0, 0, 2)","(1, 0, 0, 15)",1217.965398277818
43,LVT,"(0, 0, 2)","(1, 0, 1, 15)",1170.8213505180938
44,LVT,"(0, 0, 2)","(1, 0, 2, 15)",3216.1753874252336
45,LVT,"(0, 0, 2)","(1, 1, 0, 15)",1044.736020144946
46,LVT,"(0, 0, 2)","(1, 1, 1, 15)",1000.5385683173815
47,LVT,"(0, 0, 2)","(1, 1, 2, 15)",2148.582101826189
48,LVT,"(0, 0, 2)","(2, 0, 0, 15)",1046.1018902118578
49,LVT,"(0, 0, 2)","(2, 0, 1, 15)",1033.8123014337702
50,LVT,"(0, 0, 2)","(2, 0, 2, 15)",3296.1666188759937
51,LVT,"(0, 0, 2)","(2, 1, 0, 15)",830.4734255153787
52,LVT,"(0, 0, 2)","(2, 1, 1, 15)",831.7826625643092
53,LVT,"(0, 0, 2)","(2, 1, 2, 15)",2786.9889919965976
54,LVT,"(0, 1, 0)","(0, 0, 0, 15)",1349.991404103831
55,LVT,"(0, 1, 0)","(0, 0, 1, 15)",1187.9559961777388
56,LVT,"(0, 1, 0)","(0, 0, 2, 15)",3165.8866272870287
57,LVT,"(0, 1, 0)","(0, 1, 0, 15)",1240.7260155397887
58,LVT,"(0, 1, 0)","(0, 1, 1, 15)",1019.0722596298297
59,LVT,"(0, 1, 0)","(0, 1, 2, 15)",2372.533910584363
60,LVT,"(0, 1, 0)","(1, 0, 0, 15)",1198.896027859812
61,LVT,"(0, 1, 0)","(1, 0, 1, 15)",1190.3957082919444
62,LVT,"(0, 1, 0)","(1, 0, 2, 15)",3272.608237888544
63,LVT,"(0, 1, 0)","(1, 1, 0, 15)",1058.5657808296673
64,LVT,"(0, 1, 0)","(1, 1, 1, 15)",1020.8356707227508
65,LVT,"(0, 1, 0)","(1, 1, 2, 15)",2853.9946923247753
66,LVT,"(0, 1, 0)","(2, 0, 0, 15)",1032.2973132934333
67,LVT,"(0, 1, 0)","(2, 0, 1, 15)",1028.9610146534858
68,LVT,"(0, 1, 0)","(2, 0, 2, 15)",3732.888699087447
69,LVT,"(0, 1, 0)","(2, 1, 0, 15)",835.9576866489414
70,LVT,"(0, 1, 0)","(2, 1, 1, 15)",837.6018836797435
71,LVT,"(0, 1, 0)","(2, 1, 2, 15)",2822.9872956534236
72,LVT,"(0, 1, 1)","(0, 0, 0, 15)",1297.6600995636354
73,LVT,"(0, 1, 1)","(0, 0, 1, 15)",1138.061166477019
74,LVT,"(0, 1, 1)","(0, 0, 2, 15)",3450.2897175409025
75,LVT,"(0, 1, 1)","(0, 1, 0, 15)",1180.5190918751584
76,LVT,"(0, 1, 1)","(0, 1, 1, 15)",972.5101392590934
77,LVT,"(0, 1, 1)","(0, 1, 2, 15)",2850.962576707237
78,LVT,"(0, 1, 1)","(1, 0, 0, 15)",1158.8613590261366
79,LVT,"(0, 1, 1)","(1, 0, 1, 15)",1138.9303155226519
80,LVT,"(0, 1, 1)","(1, 0, 2, 15)",2684.6364806490305
81,LVT,"(0, 1, 1)","(1, 1, 0, 15)",1020.5022936998533
82,LVT,"(0, 1, 1)","(1, 1, 1, 15)",974.4965337444854
83,LVT,"(0, 1, 1)","(1, 1, 2, 15)",2375.0597582361456
84,LVT,"(0, 1, 1)","(2, 0, 0, 15)",996.554672893222
85,LVT,"(0, 1, 1)","(2, 0, 1, 15)",994.0406439024905
86,LVT,"(0, 1, 1)","(2, 0, 2, 15)",3580.523573705739
87,LVT,"(0, 1, 1)","(2, 1, 0, 15)",813.1038495884799
88,LVT,"(0, 1, 1)","(2, 1, 1, 15)",814.364547290271
89,LVT,"(0, 1, 1)","(2, 1, 2, 15)",2825.9644467233434
90,LVT,"(0, 1, 2)","(0, 0, 0, 15)",1288.5248681107241
91,LVT,"(0, 1, 2)","(0, 0, 1, 15)",1129.1302985665636
92,LVT,"(0, 1, 2)","(0, 0, 2, 15)",3413.4778726232216
93,LVT,"(0, 1, 2)","(0, 1, 0, 15)",1170.9535144015986
94,LVT,"(0, 1, 2)","(0, 1, 1, 15)",963.3627618652833
95,LVT,"(0, 1, 2)","(0, 1, 2, 15)",2665.8905039061274
96,LVT,"(0, 1, 2)","(1, 0, 0, 15)",1160.7020449660715
97,LVT,"(0, 1, 2)","(1, 0, 1, 15)",1129.9992294226263
98,LVT,"(0, 1, 2)","(1, 0, 2, 15)",3433.7184258921056
99,LVT,"(0, 1, 2)","(1, 1, 0, 15)",1022.5022513889357
100,LVT,"(0, 1, 2)","(1, 1, 1, 15)",965.3437629788662
101,LVT,"(0, 1, 2)","(1, 1, 2, 15)",2729.207173303515
102,LVT,"(0, 1, 2)","(2, 0, 0, 15)",998.2691569374537
103,LVT,"(0, 1, 2)","(2, 0, 1, 15)",995.6586178792073
104,LVT,"(0, 1, 2)","(2, 0, 2, 15)",3408.7977478034254
105,LVT,"(0, 1, 2)","(2, 1, 0, 15)",813.9431014032026
106,LVT,"(0, 1, 2)","(2, 1, 1, 15)",815.2421152334628
107,LVT,"(0, 1, 2)","(2, 1, 2, 15)",2742.1845225927646
108,LVT,"(1, 0, 0)","(0, 0, 0, 15)",1356.596664167066
109,LVT,"(1, 0, 0)","(0, 0, 1, 15)",1194.4963705995106
110,LVT,"(1, 0, 0)","(0, 0, 2, 15)",4170.038593478984
111,LVT,"(1, 0, 0)","(0, 1, 0, 15)",1215.0144044583717
112,LVT,"(1, 0, 0)","(0, 1, 1, 15)",1019.2861671968201
113,LVT,"(1, 0, 0)","(0, 1, 2, 15)",2729.953104187298
114,LVT,"(1, 0, 0)","(1, 0, 0, 15)",1194.1443451960272
115,LVT,"(1, 0, 0)","(1, 0, 1, 15)",1192.3616663948944
116,LVT,"(1, 0, 0)","(1, 0, 2, 15)",3745.420647717939
117,LVT,"(1, 0, 0)","(1, 1, 0, 15)",1033.6026377963278
118,LVT,"(1, 0, 0)","(1, 1, 1, 15)",1021.2694108890646
119,LVT,"(1, 0, 0)","(1, 1, 2, 15)",2895.5156180669705
120,LVT,"(1, 0, 0)","(2, 0, 0, 15)",1028.39685206053
121,LVT,"(1, 0, 0)","(2, 0, 1, 15)",1021.9977109314289
122,LVT,"(1, 0, 0)","(2, 0, 2, 15)",3742.124779828035
123,LVT,"(1, 0, 0)","(2, 1, 0, 15)",820.7424258470181
124,LVT,"(1, 0, 0)","(2, 1, 1, 15)",821.770229495518
125,LVT,"(1, 0, 0)","(2, 1, 2, 15)",2514.1000761844934
126,LVT,"(1, 0, 1)","(0, 0, 0, 15)",1310.0033007822185
127,LVT,"(1, 0, 1)","(0, 0, 1, 15)",1150.8829347916972
128,LVT,"(1, 0, 1)","(0, 0, 2, 15)",3426.2601699234615
129,LVT,"(1, 0, 1)","(0, 1, 0, 15)",1190.7720099285918
130,LVT,"(1, 0, 1)","(0, 1, 1, 15)",984.4378963485494
131,LVT,"(1, 0, 1)","(0, 1, 2, 15)",2521.1690707045605
132,LVT,"(1, 0, 1)","(1, 0, 0, 15)",1160.8021981182028
133,LVT,"(1, 0, 1)","(1, 0, 1, 15)",1151.823197945271
134,LVT,"(1, 0, 1)","(1, 0, 2, 15)",2983.1291873782525
135,LVT,"(1, 0, 1)","(1, 1, 0, 15)",1020.390832293975
136,LVT,"(1, 0, 1)","(1, 1, 1, 15)",986.4299874247301
137,LVT,"(1, 0, 1)","(1, 1, 2, 15)",2712.0516416230944
138,LVT,"(1, 0, 1)","(2, 0, 0, 15)",998.9240818599624
139,LVT,"(1, 0, 1)","(2, 0, 1, 15)",997.5406723998227
140,LVT,"(1, 0, 1)","(2, 0, 2, 15)",2996.831979315485
141,LVT,"(1, 0, 1)","(2, 1, 0, 15)",814.8744175656452
142,LVT,"(1, 0, 1)","(2, 1, 1, 15)",813.3541219786069
143,LVT,"(1, 0, 1)","(2, 1, 2, 15)",2950.785243813612
144,LVT,"(1, 0, 2)","(0, 0, 0, 15)",1300.5947315697874
145,LVT,"(1, 0, 2)","(0, 0, 1, 15)",1141.7587622179558
146,LVT,"(1, 0, 2)","(0, 0, 2, 15)",3500.660183559513
147,LVT,"(1, 0, 2)","(0, 1, 0, 15)",1181.0421018775705
148,LVT,"(1, 0, 2)","(0, 1, 1, 15)",975.2396150683094
149,LVT,"(1, 0, 2)","(0, 1, 2, 15)",6661.418540155783
150,LVT,"(1, 0, 2)","(1, 0, 0, 15)",1162.540764853345
151,LVT,"(1, 0, 2)","(1, 0, 1, 15)",1142.7743150913523
152,LVT,"(1, 0, 2)","(1, 0, 2, 15)",3327.328498164365
153,LVT,"(1, 0, 2)","(1, 1, 0, 15)",1022.3892238580507
154,LVT,"(1, 0, 2)","(1, 1, 1, 15)",977.2098655101535
155,LVT,"(1, 0, 2)","(1, 1, 2, 15)",2525.8549831798405
156,LVT,"(1, 0, 2)","(2, 0, 0, 15)",1000.6175337209131
157,LVT,"(1, 0, 2)","(2, 0, 1, 15)",999.0428802658487
158,LVT,"(1, 0, 2)","(2, 0, 2, 15)",3311.782779971993
159,LVT,"(1, 0, 2)","(2, 1, 0, 15)",819.9007328910084
