,city,"p, d, q","P, D, Q, m",aic
0,Norte,"(0, 0, 0)","(0, 0, 0, 15)",1586.581986617859
1,Norte,"(0, 0, 0)","(0, 0, 1, 15)",1347.9830495092122
2,Norte,"(0, 0, 0)","(0, 0, 2, 15)",3319.4045818323193
3,Norte,"(0, 0, 0)","(0, 1, 0, 15)",1360.9113101255552
4,Norte,"(0, 0, 0)","(0, 1, 1, 15)",1158.649471739988
5,Norte,"(0, 0, 0)","(0, 1, 2, 15)",2521.470821076871
6,Norte,"(0, 0, 0)","(1, 0, 0, 15)",1355.558318935937
7,Norte,"(0, 0, 0)","(1, 0, 1, 15)",1340.7609791453153
8,Norte,"(0, 0, 0)","(1, 0, 2, 15)",3198.8927257901078
9,Norte,"(0, 0, 0)","(1, 1, 0, 15)",1178.1119814156734
10,Norte,"(0, 0, 0)","(1, 1, 1, 15)",1153.0818456009015
11,Norte,"(0, 0, 0)","(1, 1, 2, 15)",3076.8502246222615
12,Norte,"(0, 0, 0)","(2, 0, 0, 15)",1156.8781934096817
13,Norte,"(0, 0, 0)","(2, 0, 1, 15)",1121.7405095339311
14,Norte,"(0, 0, 0)","(2, 0, 2, 15)",3492.582903609277
15,Norte,"(0, 0, 0)","(2, 1, 0, 15)",919.0420546229346
16,Norte,"(0, 0, 0)","(2, 1, 1, 15)",920.6302665530377
17,Norte,"(0, 0, 0)","(2, 1, 2, 15)",2794.1382414468294
18,Norte,"(0, 0, 1)","(0, 0, 0, 15)",1504.9224875448826
19,Norte,"(0, 0, 1)","(0, 0, 1, 15)",1304.606946729768
20,Norte,"(0, 0, 1)","(0, 0, 2, 15)",2134.354850212631
21,Norte,"(0, 0, 1)","(0, 1, 0, 15)",1321.3500225197427
22,Norte,"(0, 0, 1)","(0, 1, 1, 15)",1110.3112782243134
23,Norte,"(0, 0, 1)","(0, 1, 2, 15)",2579.285345687492
24,Norte,"(0, 0, 1)","(1, 0, 0, 15)",1321.7602920239876
25,Norte,"(0, 0, 1)","(1, 0, 1, 15)",1299.5940980986518
26,Norte,"(0, 0, 1)","(1, 0, 2, 15)",2645.3051804190754
27,Norte,"(0, 0, 1)","(1, 1, 0, 15)",1153.3381319802236
28,Norte,"(0, 0, 1)","(1, 1, 1, 15)",1109.1742744988976
29,Norte,"(0, 0, 1)","(1, 1, 2, 15)",2321.68567982642
30,Norte,"(0, 0, 1)","(2, 0, 0, 15)",1135.4307908959931
31,Norte,"(0, 0, 1)","(2, 0, 1, 15)",1104.1959780797072
32,Norte,"(0, 0, 1)","(2, 0, 2, 15)",3238.0430409615024
33,Norte,"(0, 0, 1)","(2, 1, 0, 15)",912.7740761208171
34,Norte,"(0, 0, 1)","(2, 1, 1, 15)",914.7564723379612
35,Norte,"(0, 0, 1)","(2, 1, 2, 15)",2721.469179823431
36,Norte,"(0, 0, 2)","(0, 0, 0, 15)",1455.3948738750773
37,Norte,"(0, 0, 2)","(0, 0, 1, 15)",1255.760191152834
38,Norte,"(0, 0, 2)","(0, 0, 2, 15)",3153.697973290082
39,Norte,"(0, 0, 2)","(0, 1, 0, 15)",1280.6965287714168
40,Norte,"(0, 0, 2)","(0, 1, 1, 15)",1076.1056712509942
41,Norte,"(0, 0, 2)","(0, 1, 2, 15)",2797.848676517672
42,Norte,"(0, 0, 2)","(1, 0, 0, 15)",1291.3057546338587
43,Norte,"(0, 0, 2)","(1, 0, 1, 15)",1256.554006060616
44,Norte,"(0, 0, 2)","(1, 0, 2, 15)",3229.52793210041
45,Norte,"(0, 0, 2)","(1, 1, 0, 15)",1129.9502960038124
46,Norte,"(0, 0, 2)","(1, 1, 1, 15)",1074.8879589577937
47,Norte,"(0, 0, 2)","(1, 1, 2, 15)",2527.1174900581523
48,Norte,"(0, 0, 2)","(2, 0, 0, 15)",1109.59594914966
49,Norte,"(0, 0, 2)","(2, 0, 1, 15)",1085.143316143766
50,Norte,"(0, 0, 2)","(2, 0, 2, 15)",3884.7334517217164
51,Norte,"(0, 0, 2)","(2, 1, 0, 15)",889.5773317010816
52,Norte,"(0, 0, 2)","(2, 1, 1, 15)",891.569642645955
53,Norte,"(0, 0, 2)","(2, 1, 2, 15)",2725.017448454032
54,Norte,"(0, 1, 0)","(0, 0, 0, 15)",1411.635451929298
55,Norte,"(0, 1, 0)","(0, 0, 1, 15)",1241.7071014247033
56,Norte,"(0, 1, 0)","(0, 0, 2, 15)",3004.934394462874
57,Norte,"(0, 1, 0)","(0, 1, 0, 15)",1301.787425301534
58,Norte,"(0, 1, 0)","(0, 1, 1, 15)",1072.2664044020685
59,Norte,"(0, 1, 0)","(0, 1, 2, 15)",3026.936814615309
60,Norte,"(0, 1, 0)","(1, 0, 0, 15)",1253.1735327970086
61,Norte,"(0, 1, 0)","(1, 0, 1, 15)",1243.676415727516
62,Norte,"(0, 1, 0)","(1, 0, 2, 15)",2126.011003847729
63,Norte,"(0, 1, 0)","(1, 1, 0, 15)",1105.2530643277105
64,Norte,"(0, 1, 0)","(1, 1, 1, 15)",1074.224322726989
65,Norte,"(0, 1, 0)","(1, 1, 2, 15)",3219.6721688212747
66,Norte,"(0, 1, 0)","(2, 0, 0, 15)",1073.5474786128286
