,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[20, 20]",0.5,rmsprop,0.01,0.031353659927845,0.023539502173662186,500,8,GRU
1,"[100, 150]",0.7,sgd_momentum,0.001,0.02605491317808628,0.02132837288081646,500,8,RNN
2,"[100, 20]",0.2,adam,0.0001,0.028697419911623,0.024636160582304,1000,64,GRU
3,"[100, 20]",0.5,sgd_momentum,0.001,0.026310181245207787,0.0220025647431612,10000,16,RNN
4,"[10, 10, 10]",0.7,adam,0.01,0.0350361205637455,0.0305184293538332,1000,16,LSTM
5,"[20, 20]",0.2,sgd_momentum,0.0001,0.02615414187312126,0.02175523340702057,10000,8,RNN
6,"[20, 20]",0.2,sgd_momentum,0.0001,0.281477153301239,0.2802589535713196,500,64,GRU
7,"[100, 20]",0.2,sgd_momentum,0.01,0.0263217743486166,0.022119998931884766,500,8,LSTM
8,"[100, 20]",0.5,rmsprop,0.0001,0.026211757212877274,0.022164179012179375,500,16,RNN
9,"[20, 20]",0.7,adam,0.01,0.03361058607697487,0.02886228635907173,10000,16,RNN
10,"[100, 100, 100]",0.2,adam,0.01,0.03389830142259598,0.021571647375822067,500,8,GRU
11,"[10, 10, 10]",0.5,adam,0.0001,0.027407415211200714,0.023589778691530228,10000,64,GRU
12,"[100, 150]",0.2,sgd_momentum,0.001,0.0331781804561615,0.029805492609739304,1000,64,LSTM
13,"[50, 100, 50]",0.2,sgd_momentum,0.01,0.02611503191292286,0.02191729098558426,10000,16,GRU
14,"[100, 20]",0.5,sgd_momentum,0.0001,0.027118975296616554,0.023254098370671272,10000,16,GRU
