,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[20, 20]",0.2,rmsprop,0.0001,0.06159495934844017,0.0501418374478817,500,64,GRU
1,"[20, 20]",0.7,adam,0.001,0.06835605204105377,0.056052956730127335,1000,32,GRU
2,"[100, 50]",0.5,adam,0.0001,0.062112413346767426,0.05142100155353546,1000,64,LSTM
3,"[100, 50]",0.7,rmsprop,0.0001,0.06736847013235092,0.05935276672244072,10000,16,RNN
4,"[20, 20]",0.5,sgd_momentum,0.0001,0.08653965592384338,0.0753767341375351,500,64,RNN
5,"[100, 150]",0.7,sgd_momentum,0.0001,0.06307905167341232,0.05114154517650604,500,8,RNN
6,"[100, 50]",0.2,adam,0.001,0.06954513490200043,0.05798555538058281,500,64,LSTM
7,"[100, 100, 100]",0.5,rmsprop,0.01,0.06440873444080353,0.05086425319314003,10000,8,RNN
8,"[50, 100, 50]",0.7,sgd_momentum,0.01,0.06049108877778053,0.05232153832912445,10000,16,RNN
9,"[20, 20]",0.2,adam,0.001,0.07794179022312164,0.0632195919752121,10000,16,LSTM
10,"[100, 100, 100]",0.5,rmsprop,0.0001,0.07035025209188461,0.05870842561125755,1000,8,RNN
11,"[100, 150]",0.2,adam,0.001,0.07494644075632095,0.06556271761655807,1000,32,RNN
12,"[100, 20]",0.2,rmsprop,0.01,0.0727083757519722,0.06039547920227051,1000,16,LSTM
13,"[100, 150]",0.5,adam,0.01,0.08123818039894104,0.06986883282661438,500,64,GRU
14,"[100, 100, 100]",0.7,adam,0.0001,0.06834562867879868,0.055554699152708054,10000,64,GRU
