,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[100, 50]",0.2,rmsprop,0.0001,0.025879494845867157,0.02158498205244541,1000,32,GRU
1,"[100, 150]",0.5,sgd_momentum,0.01,0.02802606113255024,0.023248227313160896,10000,8,GRU
2,"[100, 100, 100]",0.7,sgd_momentum,0.0001,0.06785005331039429,0.06424580514431,1000,16,GRU
3,"[10, 10, 10]",0.7,rmsprop,0.01,0.023973654955625534,0.01815594919025898,1000,16,RNN
4,"[50, 100, 50]",0.7,adam,0.001,0.027084805071353912,0.021206853911280632,10000,16,LSTM
5,"[50, 100, 50]",0.5,rmsprop,0.001,0.03550083935260773,0.030376136302947998,10000,32,LSTM
6,"[100, 20]",0.7,rmsprop,0.0001,0.023833017796278,0.019328998401761055,1000,32,RNN
7,"[50, 100, 50]",0.2,adam,0.01,0.026656586676836014,0.021092599257826805,10000,8,GRU
8,"[100, 100, 100]",0.7,adam,0.01,0.040349699556827545,0.033935241401195526,1000,16,LSTM
9,"[10, 10, 10]",0.2,sgd_momentum,0.0001,0.2221551090478897,0.2210809737443924,500,16,LSTM
10,"[100, 20]",0.2,rmsprop,0.0001,0.03157274052500725,0.02518228441476822,10000,16,RNN
11,"[100, 50]",0.7,adam,0.001,0.02169906720519066,0.015313306823372841,10000,16,LSTM
12,"[20, 20]",0.2,sgd_momentum,0.001,0.026676930487155914,0.0227495189756155,1000,32,RNN
13,"[50, 100, 50]",0.7,rmsprop,0.0001,0.024434538558125496,0.01983332820236683,500,8,GRU
14,"[10, 10, 10]",0.5,sgd_momentum,0.01,0.04144326224923134,0.03759181872010231,500,16,LSTM
