,layers,dropout,algorithm,learning rate,val_loss,val_acc,epochs,batch_size,model
0,"[10, 10, 10]",0.5,rmsprop,0.01,0.267283171415329,0.209116593003273,1000,16,RNN
1,"[20, 20]",0.2,adam,0.0001,0.2295793890953064,0.1910429447889328,1000,8,GRU
2,"[100, 20]",0.7,adam,0.001,0.3583393394947052,0.294519305229187,10000,8,GRU
3,"[100, 20]",0.7,sgd_momentum,0.01,0.3332696259021759,0.27979913353919983,500,64,LSTM
4,"[100, 50]",0.2,adam,0.001,0.25993818044662476,0.21860137581825256,10000,64,RNN
5,"[100, 150]",0.2,sgd_momentum,0.01,0.3176846206188202,0.25808003544807434,10000,64,RNN
6,"[100, 20]",0.7,adam,0.01,0.3374082148075104,0.26889047026634216,10000,16,GRU
7,"[100, 50]",0.5,sgd_momentum,0.0001,0.3711775541305542,0.3176615536212921,500,64,RNN
8,"[100, 150]",0.2,rmsprop,0.01,0.3268265426158905,0.28493520617485046,1000,64,GRU
9,"[50, 100, 50]",0.2,adam,0.01,0.3850201368331909,0.32354870438575745,500,32,RNN
10,"[100, 150]",0.2,sgd_momentum,0.01,0.22125114500522614,0.19644427299499512,1000,16,LSTM
11,"[100, 150]",0.5,rmsprop,0.01,0.3544504642486572,0.3030446767807007,10000,32,GRU
12,"[100, 150]",0.7,rmsprop,0.0001,0.23536181449890137,0.19230547547340393,10000,64,RNN
13,"[100, 150]",0.2,rmsprop,0.0001,0.2531396150588989,0.18877869844436646,500,16,RNN
14,"[100, 20]",0.2,rmsprop,0.001,0.3751155138015747,0.3186003863811493,10000,32,LSTM
