mean,std,kernel,cache_size,epsilon,C,gamma
-0.016035082688217312,0.01600168655355097,linear,0.11120000000000001,0.1,50,222.23
-0.009671726171086036,0.009770317364268744,rbf,0.4445,0.0001,30,0.01
-0.016100588747249754,0.023067955601570676,rbf,0.8889,0.001,200,555.56
-0.007775125587811624,0.007394399601721764,linear,0.7778,0.001,100,666.67
-0.007746147002525067,0.007304844949850642,linear,0.5556,0.002,30,333.34
-0.007741728392185463,0.007154640110890068,rbf,0.11120000000000001,0.002,300,333.34
-0.007953699090912645,0.007263851075219263,linear,0.7778,0.01,50,444.45
-0.020943287195472123,0.03246223888922161,rbf,1.0,0.001,200,777.78
-0.007751344891642434,0.007311652308207194,linear,0.4445,0.002,50,666.67
-0.010206004836253023,0.010803279144818222,rbf,0.5556,0.0001,100,333.34
-0.01025826818732436,0.010723890868532902,rbf,0.33340000000000003,0.001,30,888.89
-0.007765975824598202,0.00737964832563315,linear,0.7778,0.001,200,333.34
-0.016005771797624083,0.015903107564775604,linear,1.0,0.1,30,555.56
-0.01716611296859166,0.02463227136913541,rbf,0.6667000000000001,0.002,20,888.89
-0.010123418363142645,0.010622394628496184,rbf,0.4445,0.0001,300,444.45
-0.007784147773041506,0.0074582677004300605,linear,1.0,0.0001,100,222.23
-0.007770268891697315,0.00738953517678282,linear,0.4445,0.001,300,444.45
-0.007793761106451391,0.00719462669527749,rbf,0.11120000000000001,0.002,100,555.56
-0.009000828612649675,0.009127170119014228,rbf,0.33340000000000003,0.01,200,0.01
-0.007741884843112089,0.007205964140924755,rbf,0.11120000000000001,0.0001,100,333.34
