mean,std,kernel,cache_size,epsilon,C,gamma
-0.0842724914785585,0.1472835250234418,linear,0.0001,0.01,100,777.78
-0.06619565869902526,0.1114347991400748,linear,0.2223,0.001,200,111.12
-0.04913655436819636,0.05110620180636891,rbf,1.0,0.1,30,111.12
-0.036657467354290194,0.043701799681723656,linear,0.11120000000000001,0.1,300,444.45
-0.06297445679630594,0.1049737074290469,linear,0.8889,0.002,20,111.12
-0.03668271522932513,0.043678570725679315,linear,0.5556,0.1,200,555.56
-0.03937596902466951,0.06068937302282623,rbf,0.2223,0.002,100,0.01
-0.06720809886143142,0.11349647251046528,linear,1.0,0.0001,100,333.34
-0.06627072076674369,0.08932211789295862,rbf,0.2223,0.002,30,333.34
-0.03153146341805845,0.04365739723391211,rbf,0.0001,0.1,200,333.34
-0.09638552512389266,0.12592649774205425,rbf,0.2223,0.002,50,1000.0
-0.09291709529399456,0.12449031025569476,rbf,0.2223,0.001,30,777.78
-0.11255288552646484,0.14545054994196657,rbf,0.33340000000000003,0.0001,300,777.78
-0.04260628166052587,0.05436574297805893,rbf,0.11120000000000001,0.01,100,222.23
-0.03519395177267386,0.056604835986553234,rbf,0.0001,0.0001,30,222.23
-0.03801131868617823,0.05985666429375975,rbf,0.6667000000000001,0.001,50,0.01
-0.036714709323778176,0.04367207210243309,linear,0.8889,0.1,50,777.78
-0.03488982964058762,0.0560431454292198,rbf,0.0001,0.002,30,222.23
-0.0583266935157126,0.07229611488735964,rbf,0.4445,0.01,20,111.12
-0.09140628074887205,0.12363223138956277,rbf,0.2223,0.001,30,666.67
