mean,std,kernel,cache_size,epsilon,C,gamma
-0.022719902192739554,0.023024137413109807,rbf,0.33340000000000003,0.1,300,1000.0
-0.0822580021708832,0.14003518047148789,rbf,0.8889,0.01,300,444.45
-0.033083940799113254,0.03574981691882024,rbf,0.5556,0.01,30,0.01
-0.02222981227950898,0.03268914665877754,linear,0.5556,0.002,200,444.45
-0.10528575351064237,0.1913134877723331,rbf,0.6667000000000001,0.001,100,777.78
-0.023398046291203765,0.026632799874433365,rbf,0.0001,0.01,100,555.56
-0.02882179633220567,0.04610111392849625,rbf,1.0,0.01,20,111.12
-0.022087564159110177,0.031748912511593,linear,0.8889,0.01,50,666.67
-0.04117579392247238,0.06998431404830792,rbf,0.4445,0.002,100,444.45
-0.03265146048602709,0.03538786200647957,linear,0.0001,0.01,30,0.01
-0.02290280563579287,0.03467047668347282,linear,0.6667000000000001,0.001,30,444.45
-0.022975813641788172,0.03475615071400454,linear,0.7778,0.001,50,777.78
-0.02207429426177137,0.03265567565282656,linear,0.11120000000000001,0.002,300,555.56
-0.02491414085147813,0.023544627962392404,linear,0.8889,0.1,200,777.78
-0.022994829390193264,0.022769557896784715,rbf,0.4445,0.1,20,111.12
-0.022757697349856713,0.022977656989892892,rbf,0.4445,0.1,30,777.78
-0.04426385614318659,0.07648049204515005,rbf,0.7778,0.002,30,222.23
-0.07951240914699066,0.14109872371960835,rbf,1.0,0.001,30,444.45
-0.022975813641788172,0.03475615071400454,linear,0.33340000000000003,0.001,20,777.78
-0.025185583637529645,0.03493595382832471,linear,1.0,0.0001,20,666.67
