mean,std,kernel,cache_size,epsilon,C,gamma
-0.07348843934068462,0.027481030664826978,linear,0.5556,0.0001,300,555.56
-0.6388642804441402,1.0225493182104315,rbf,0.5556,0.001,300,444.45
-0.09141939948008435,0.04428405109591624,rbf,0.11120000000000001,0.1,30,111.12
-0.07289916903164131,0.027250526629781082,linear,0.11120000000000001,0.0001,200,111.12
-0.46256829614322054,0.5634876542870869,rbf,0.7778,0.1,200,888.89
-0.1504088992488593,0.13801626867382397,rbf,0.6667000000000001,0.01,50,111.12
-0.0703087311413716,0.03008337788044676,linear,0.4445,0.1,100,888.89
-0.1032239707346421,0.05987280722541636,rbf,0.5556,0.01,300,0.01
-1.588485301956624,2.5909221258887136,rbf,1.0,0.0001,100,888.89
-0.0703087311413716,0.03008337788044676,linear,0.11120000000000001,0.1,50,888.89
-0.389475356668434,0.5917347180182061,rbf,0.4445,0.1,200,666.67
-0.07289916903164131,0.027250526629781082,linear,0.33340000000000003,0.0001,100,111.12
-0.07315577987125996,0.027634988755261193,linear,0.7778,0.002,50,777.78
-1.519793571436235,2.245058232615328,rbf,1.0,0.01,20,1000.0
-0.16704790889467297,0.14509392740519247,rbf,0.7778,0.1,20,111.12
-0.07348814385918671,0.027757698320858133,linear,1.0,0.002,200,444.45
-0.07313126455407953,0.02764240470252229,linear,0.4445,0.002,300,888.89
-0.6815416552656449,1.188235854745837,rbf,0.7778,0.01,20,333.34
-0.307959720148279,0.404739187206934,rbf,1.0,0.002,50,111.12
-0.07211661814339045,0.027054404233597444,linear,0.33340000000000003,0.001,300,333.34
