mean,std,kernel,cache_size,epsilon,C,gamma
-0.2695773652839796,0.4114595538146107,rbf,0.6667000000000001,0.0001,50,222.23
-0.034886358409723935,0.03650125147465723,linear,0.0001,0.002,100,555.56
-0.03639049003190689,0.037467319840045664,linear,0.8889,0.001,50,1000.0
-0.06066303995230641,0.07181791787720168,linear,0.4445,0.1,30,888.89
-0.31072454832889523,0.4415365369386621,rbf,0.5556,0.001,30,666.67
-0.03651207241437139,0.03760717492624293,linear,0.11120000000000001,0.01,30,1000.0
-0.14092942876354891,0.18210606195453588,rbf,0.33340000000000003,0.01,200,555.56
-0.034886358409723935,0.03650125147465723,linear,0.5556,0.002,20,555.56
-0.039181847726532715,0.039859391140288705,linear,0.5556,0.0001,30,444.45
-0.03674540269134193,0.037765225530532444,linear,0.2223,0.01,50,222.23
-0.03944139205063456,0.04011400973593834,linear,0.33340000000000003,0.0001,30,666.67
-0.5749995310496006,0.922167634744814,rbf,0.5556,0.01,20,888.89
-0.3226435991958415,0.4028699446483837,rbf,0.7778,0.002,100,666.67
-0.08242220793849878,0.09812949512039264,rbf,0.6667000000000001,0.001,50,0.01
-0.03685512952180677,0.03784269029011135,linear,0.33340000000000003,0.001,100,222.23
-0.049560677390059364,0.06278532485049472,rbf,0.0001,0.001,100,777.78
-0.03605781867043052,0.03728058859619019,linear,0.8889,0.01,200,555.56
-0.056194083089728675,0.07461098802858046,rbf,0.0001,0.01,200,444.45
-0.3094013023486158,0.449163015333055,rbf,0.5556,0.001,200,555.56
-0.03605781867043052,0.03728058859619019,linear,1.0,0.01,300,555.56
